#Duplication rate	Coverage
1.0	1.8309486E7
2.0	2.390533E7
3.0	3788976.0
4.0	4696181.0
5.0	1256348.0
6.0	1545050.0
7.0	594780.0
8.0	707939.0
9.0	345942.0
10.0	392393.0
11.0	225138.0
12.0	244098.0
13.0	156044.0
14.0	162851.0
15.0	112968.0
16.0	115041.0
17.0	84001.0
18.0	83680.0
19.0	64405.0
20.0	62731.0
21.0	50385.0
22.0	47971.0
23.0	39094.0
24.0	37425.0
25.0	30703.0
26.0	29057.0
27.0	24628.0
28.0	23033.0
29.0	19873.0
30.0	18554.0
31.0	15937.0
32.0	14910.0
33.0	13086.0
34.0	12048.0
35.0	10543.0
36.0	9731.0
37.0	8535.0
38.0	7954.0
39.0	7033.0
40.0	6354.0
41.0	5733.0
42.0	5284.0
43.0	4891.0
44.0	4223.0
45.0	3888.0
46.0	3424.0
47.0	3140.0
48.0	2863.0
49.0	2577.0
50.0	29291.0
