#Mapping quality	mapping quality
0.0	7425452.0
1.0	8728239.0
2.0	2.8912345E7
3.0	1.6511621E7
4.0	1.9747952E7
5.0	1.2511452E7
6.0	1.3052726E7
7.0	6540279.0
8.0	5937049.0
9.0	5146041.0
10.0	4912384.0
11.0	4818637.0
12.0	4785781.0
13.0	4667720.0
14.0	4766694.0
15.0	4840621.0
16.0	5100921.0
17.0	5209681.0
18.0	5605564.0
19.0	5869283.0
20.0	6403782.0
21.0	7134727.0
22.0	7740311.0
23.0	8607405.0
24.0	9540218.0
25.0	1.0239339E7
26.0	1.1293402E7
27.0	1.2063613E7
28.0	1.2766594E7
29.0	1.2846438E7
30.0	1.2486217E7
31.0	1.1166281E7
32.0	9338414.0
33.0	6978227.0
34.0	4749703.0
35.0	2852804.0
36.0	1597009.0
37.0	817876.0
38.0	425345.0
39.0	203235.0
40.0	254634.0
41.0	210667.0
42.0	363298.0
