POC.47	POC.48	POC.50	POC.53	POC.57
lncRNA_002	6.39176069359408	3.67255807564258	5.9090053658632	5.07405673352551	5.37099423606773
lncRNA_005	3.67255807564258	3.67255807564258	8.34379994477193	3.67255807564258	5.12168191632349
lncRNA_007	9.15185641625201	6.15073232283648	9.57767214288519	6.22009735338052	7.2538153358739
lncRNA_025	8.85423825030263	6.33049424549772	11.5979007622737	5.22572527882127	8.61959024788777
lncRNA_027	7.86766588518677	6.21332672765422	6.18976647375997	4.89745892105427	6.0740536829654
lncRNA_034	7.36098497712257	7.48618918352137	4.37773712323388	7.75376937046164	9.94990395739329
lncRNA_035	8.15792152707499	4.569440699916	5.00400918267747	4.61936270413327	4.79772900748865
lncRNA_051	3.67255807564258	6.40338699064385	6.39522435884613	5.50811876237755	6.14954138118705
lncRNA_052	3.67255807564258	3.67255807564258	5.74259714648869	5.97164435472583	3.67255807564258
lncRNA_053	3.67255807564258	5.94333225769774	5.88932616345051	5.4508592854876	3.67255807564258
lncRNA_055	3.67255807564258	6.1927811267717	3.67255807564258	5.99100106344784	6.72155975443372
lncRNA_056	6.69217307620186	5.18142541238016	4.17365109898851	5.4508592854876	3.67255807564258
lncRNA_069	4.08702876451195	6.5545566753459	6.02130425967487	4.61936270413327	5.61427914682662
lncRNA_072	11.0209933843626	8.24228496492338	10.4747657534514	9.65299597065736	9.52836536682179
lncRNA_082	3.67255807564258	4.65202210408856	5.60198149973645	4.74092398342263	6.6382995380707
lncRNA_085	3.67255807564258	3.67255807564258	3.67255807564258	5.8056394736631	5.72017515432362
lncRNA_088	5.25553642680845	7.34801497169179	4.37773712323388	4.47673987245533	7.01258454317358
lncRNA_094	7.67093942206093	7.02347076261701	8.51003247017655	7.62248446822926	5.75360978481481
lncRNA_103	6.00677285488592	4.92204636111821	6.64405246216633	8.52752501808768	6.28896280824428
lncRNA_110	7.05994544246554	7.82209245340847	6.54980145818227	9.92573563819452	8.90929939932859
lncRNA_112	6.44656731297157	7.18485611148749	9.26240894075054	5.73751163076544	5.75360978481481
lncRNA_119	4.945996680347	3.67255807564258	5.78623623822211	6.11917376698048	3.67255807564258
lncRNA_120	7.70810911496015	5.27019299441863	5.26135003355202	6.84749731013045	4.87134746500585
lncRNA_123	8.33435361808491	7.16436958827804	4.02777019461343	3.67255807564258	3.67255807564258
lncRNA_124	6.25468556969781	4.97925107765281	5.04469357147551	6.77338767716869	3.67255807564258
lncRNA_125	6.55006835975224	5.96803269787148	4.87137047286079	4.29864594243192	4.10704926035584
lncRNA_128	6.27512777982075	5.18142541238016	4.59874921658242	9.12782096573582	6.12484542530153
lncRNA_133	7.7443383720438	5.42971935438445	4.59874921658242	7.19337471592548	4.10704926035584
lncRNA_136	5.49887744937255	5.57061795317748	5.19368587384527	7.45121767495156	8.69867460294229
lncRNA_151	4.08702876451195	3.67255807564258	5.96634209337476	4.03591216061995	5.53839828195322
lncRNA_152	3.67255807564258	3.67255807564258	3.67255807564258	3.67255807564258	6.81535186869094
lncRNA_159	3.67255807564258	4.92204636111821	4.17365109898851	5.15247201933443	6.54975695346434
lncRNA_160	5.05926728659754	4.3716615271577	7.09768327828991	4.94451671964799	5.12168191632349
lncRNA_164	5.16170966336092	6.53855133671534	7.40791947503077	6.51110146708239	7.7382395512843
lncRNA_166	5.05926728659754	6.76125070795311	3.67255807564258	4.29864594243192	5.72017515432362
lncRNA_179	6.33468292616504	5.81236985340164	3.67255807564258	3.67255807564258	3.67255807564258
lncRNA_182	4.8185281166403	5.83962998464431	4.53207761895937	6.31404785684134	3.67255807564258
lncRNA_194	7.00091594985632	4.86139979723897	7.64018391674282	5.69000521806339	5.0039839420636
lncRNA_204	3.67255807564258	5.99228199623362	3.67255807564258	3.67255807564258	7.33990186386025
lncRNA_205	4.945996680347	7.31127302154616	4.77188678415228	5.8056394736631	5.75360978481481
lncRNA_213	4.945996680347	3.67255807564258	3.67255807564258	4.39365867134214	6.37458425431028
lncRNA_217	6.55006835975224	6.23356653888932	3.67255807564258	5.07405673352551	5.65056741942255
lncRNA_226	4.25672703110566	9.85016925250754	7.00383957116464	9.30340158933193	10.4078013190183
lncRNA_254	9.84334552518749	7.67122308526498	9.66588617694416	7.59227777328437	8.9540844027815
lncRNA_255	4.38563302193815	3.67255807564258	5.49868087414805	5.11396427038556	6.68884788447054
lncRNA_259	7.95675272784772	8.63884002151138	7.91173658694986	7.16893654331422	5.78619968079671
lncRNA_265	3.67255807564258	5.60347504469214	5.80751643572086	4.03591216061995	5.72017515432362
lncRNA_269	4.74785597489332	6.98886426267915	4.59874921658242	4.79602115333586	6.17379447281966
lncRNA_286	7.52017261730093	6.01609751038317	6.29634792864819	6.60002034984542	3.67255807564258
lncRNA_288	7.87421600175564	6.31165025322712	8.19082315013528	6.28344327668079	4.87134746500585
lncRNA_292	8.3625390709122	5.66672423031392	8.21369908531194	7.41019921232389	7.37088869970071
lncRNA_297	5.93037338426509	6.90465948708567	5.94750449919735	4.03591216061995	7.58843595831239
lncRNA_307	4.25672703110566	5.27019299441863	4.87137047286079	5.07405673352551	7.32942136180707
lncRNA_312	5.49887744937255	5.0850441485877	5.29374690215996	5.50811876237755	7.7848828638831
lncRNA_316	6.72188098841671	5.75607174413966	3.67255807564258	4.18507822855424	3.67255807564258
lncRNA_320	9.05164971871714	9.39132213631007	9.94825990713186	9.45656273479672	4.28474297111089
lncRNA_340	3.67255807564258	3.67255807564258	3.67255807564258	7.68104952440631	3.67255807564258
lncRNA_350	6.93931505998687	7.5739772889414	3.67255807564258	3.67255807564258	3.67255807564258
lncRNA_356	4.49324280656334	3.67255807564258	4.45906819794071	7.19337471592548	5.27763186805634
lncRNA_358	4.8185281166403	3.67255807564258	3.67255807564258	6.84749731013045	3.67255807564258
lncRNA_361	7.02482396305922	5.0850441485877	4.02777019461343	6.40196773123378	4.10704926035584
lncRNA_395	6.90102204492782	7.8732413228955	5.47144900777039	4.89745892105427	6.54975695346434
lncRNA_399	3.67255807564258	4.65202210408856	3.67255807564258	6.10159576282548	5.12168191632349
lncRNA_400	5.79229428488482	5.13428404456927	3.67255807564258	6.04743977322719	6.17379447281966
lncRNA_405	5.70181274862398	10.0167791845652	9.46320393633472	9.5042022532807	9.75740028421527
lncRNA_407	5.00416055869563	6.57037988590177	7.29755885631889	5.93206288098736	4.71785184877048
lncRNA_449	5.98179138542456	7.11182138989239	4.37773712323388	6.85777273392198	4.53206068247586
lncRNA_450	6.44656731297157	6.21332672765422	4.02777019461343	4.89745892105427	7.05149030186545
lncRNA_459	8.14715460152991	5.18142541238016	4.02777019461343	4.55129751974136	5.75360978481481
lncRNA_473	4.25672703110566	4.47726252482433	5.41509058609976	5.4508592854876	6.91741205527641
lncRNA_476	7.64816534760293	7.54267473240107	9.59662108237653	7.66952666055476	6.90327682659778
lncRNA_478	5.6377343954811	5.72697544779478	6.17383542943766	3.67255807564258	3.67255807564258
lncRNA_510	4.8185281166403	4.72728897233078	3.67255807564258	3.67255807564258	6.62103526669557
lncRNA_511	3.67255807564258	5.63549505689918	4.87137047286079	6.08378524792028	3.67255807564258
lncRNA_518	4.58714132678802	6.12920767371728	5.86934799006277	4.61936270413327	3.67255807564258
lncRNA_519	4.25672703110566	5.99228199623362	5.84906080464743	5.71397848649826	3.67255807564258
lncRNA_527	4.8185281166403	6.25351000775008	7.31183050886687	4.79602115333586	6.43547432074489
lncRNA_528	5.42312198611197	3.67255807564258	5.98491610535645	4.29864594243192	3.67255807564258
lncRNA_530	5.93037338426509	7.92262865032004	5.19368587384527	7.10163367578966	6.53135187960477
lncRNA_533	3.67255807564258	3.67255807564258	3.67255807564258	3.67255807564258	6.14954138118705
lncRNA_538	4.49324280656334	5.63549505689918	6.25168629800932	7.21739968682925	6.81535186869094
lncRNA_539	3.67255807564258	4.47726252482433	6.23646837594998	5.07405673352551	3.67255807564258
lncRNA_543	6.03129491861128	3.67255807564258	5.92839512665961	4.03591216061995	5.61427914682662
lncRNA_585	5.16170966336092	5.78452645386085	5.47144900777039	3.67255807564258	6.39518123141533
lncRNA_589	3.67255807564258	3.67255807564258	6.15771490613144	3.67255807564258	3.67255807564258
lncRNA_595	5.34229562695829	6.1719198070817	5.04469357147551	6.70659517855866	3.67255807564258
lncRNA_599	4.08702876451195	3.67255807564258	6.02130425967487	3.67255807564258	3.67255807564258
lncRNA_602	3.67255807564258	3.67255807564258	5.92839512665961	3.67255807564258	3.67255807564258
lncRNA_609	7.09421716935094	6.84127913256763	7.23150414805815	4.74092398342263	5.17609318421965
lncRNA_616	3.67255807564258	3.67255807564258	5.9090053658632	3.67255807564258	3.67255807564258
lncRNA_617	3.67255807564258	5.22667102781042	5.12170906570651	5.29456096989562	6.62103526669557
lncRNA_618	5.57023547274566	6.23356653888932	4.96168283216376	6.06573557060977	3.67255807564258
lncRNA_627	3.67255807564258	5.57061795317748	5.78623623822211	5.56283553623086	3.67255807564258
lncRNA_632	3.67255807564258	4.0788029096884	5.15827752770228	4.03591216061995	6.09968907584387
lncRNA_646	3.67255807564258	5.60347504469214	4.96168283216376	5.93206288098736	3.67255807564258
lncRNA_649	3.67255807564258	5.03346393571946	4.66037959079926	4.55129751974136	6.90327682659778
lncRNA_655	3.67255807564258	5.39179736109949	5.22801849497899	6.26788032297197	3.67255807564258
lncRNA_658	3.67255807564258	6.74745781915064	5.69742712674014	5.99100106344784	5.06444107112528
lncRNA_660	6.56659237323019	7.69275609120131	9.18360734915238	8.36601719390316	6.81535186869094
lncRNA_664	3.67255807564258	5.39179736109949	5.74259714648869	5.69000521806339	3.67255807564258
lncRNA_671	3.67255807564258	5.57061795317748	6.20551269105631	7.41019921232389	3.67255807564258
lncRNA_674	3.67255807564258	5.22667102781042	6.15771490613144	5.42118854909643	3.67255807564258
