"POC.47" "POC.48" "POC.50" "POC.53" "POC.57"
"lncRNA_001" 196 319 153 274 242
"lncRNA_002" 57 0 48 16 17
"lncRNA_004" 222 362 307 709 350
"lncRNA_005" 0 0 386 0 12
"lncRNA_006" 159 158 280 345 140
"lncRNA_007" 513 47 951 63 110
"lncRNA_008" 24 0 0 0 4
"lncRNA_010" 16 9 8 15 24
"lncRNA_014" 55 80 4 21 18
"lncRNA_015" 18403 15112 28538 17117 12271
"lncRNA_016" 108 167 157 53 158
"lncRNA_019" 1930 2843 1954 2027 942
"lncRNA_020" 9 6 3 50 34
"lncRNA_021" 331 237 325 337 168
"lncRNA_022" 574 603 412 443 707
"lncRNA_025" 413 56 3957 20 316
"lncRNA_026" 407 248 277 361 94
"lncRNA_027" 197 50 64 12 38
"lncRNA_029" 6 0 0 9 0
"lncRNA_030" 2178 2301 2015 1489 1862
"lncRNA_032" 47 8 31 22 50
"lncRNA_034" 132 152 4 235 827
"lncRNA_035" 246 5 15 7 7
"lncRNA_036" 0 2 16 19 1
"lncRNA_037" 28 57 119 53 26
"lncRNA_038" 1908 2514 1365 821 509
"lncRNA_039" 49 340 92 158 74
"lncRNA_042" 32 5 9 24 26
"lncRNA_043" 95 40 172 64 31
"lncRNA_045" 0 7 0 0 22
"lncRNA_047" 0 2 7 23 0
"lncRNA_048" 97 18 36 69 46
"lncRNA_049" 211 544 164 343 316
"lncRNA_050" 21 29 69 69 25
"lncRNA_051" 0 60 78 29 41
"lncRNA_052" 0 0 40 49 0
"lncRNA_053" 0 38 47 27 0
"lncRNA_054" 8 14 10 22 2
"lncRNA_055" 0 49 0 50 70
"lncRNA_056" 75 15 2 27 0
"lncRNA_057" 925 587 1504 791 816
"lncRNA_058" 45 206 166 85 82
"lncRNA_059" 45 27 140 20 63
"lncRNA_067" 0 6 0 7 10
"lncRNA_068" 0 5 0 25 0
"lncRNA_069" 1 69 54 7 23
"lncRNA_072" 1937 273 1799 959 612
"lncRNA_073" 30 0 0 0 0
"lncRNA_074" 305 570 557 450 500
"lncRNA_075" 455 217 435 265 377
"lncRNA_076" 58 15 3 6 2
"lncRNA_078" 4 0 0 24 0
"lncRNA_079" 31 16 24 47 10
"lncRNA_082" 0 6 34 9 65
"lncRNA_083" 0 29 27 11 16
"lncRNA_084" 6 2 2 3 3
"lncRNA_085" 0 0 0 41 26
"lncRNA_086" 12 19 30 38 43
"lncRNA_087" 0 12 0 0 21
"lncRNA_088" 16 136 4 5 90
"lncRNA_089" 80 22 44 47 55
"lncRNA_090" 529 278 620 186 162
"lncRNA_091" 36 89 75 58 90
"lncRNA_093" 58 88 120 72 98
"lncRNA_094" 169 104 437 212 27
"lncRNA_095" 155 60 191 77 136
"lncRNA_096" 95 177 474 548 204
"lncRNA_102" 17 30 23 10 26
"lncRNA_103" 39 10 98 423 47
"lncRNA_104" 190 151 73 58 111
"lncRNA_105" 98 188 108 87 38
"lncRNA_106" 322 150 236 64 232
"lncRNA_107" 218 167 251 514 68
"lncRNA_108" 11 6 79 8 40
"lncRNA_109" 621 301 377 598 471
"lncRNA_110" 103 198 90 1165 391
"lncRNA_111" 2 20 18 0 0
"lncRNA_112" 60 119 758 38 27
"lncRNA_113" 0 12 0 26 0
"lncRNA_118" 28 9 70 23 14
"lncRNA_119" 10 0 42 57 0
"lncRNA_120" 174 17 22 112 8
"lncRNA_121" 40 36 3 6 4
"lncRNA_123" 281 117 1 0 0
"lncRNA_124" 50 11 16 105 0
"lncRNA_125" 66 39 12 3 1
"lncRNA_126" 31 4 65 75 35
"lncRNA_127" 87 24 51 51 16
"lncRNA_128" 51 15 7 657 40
"lncRNA_129" 29 14 3 46 1
"lncRNA_130" 69 82 59 66 29
"lncRNA_131" 18 3 14 18 56
"lncRNA_132" 30 75 10 34 11
"lncRNA_133" 179 21 7 150 1
"lncRNA_134" 0 0 7 0 5
"lncRNA_135" 2 26 30 37 5
"lncRNA_136" 22 25 20 185 335
"lncRNA_137" 8 20 34 19 9
"lncRNA_138" 12 1 0 18 9
"lncRNA_143" 0 20 18 5 24
"lncRNA_144" 4 13 2 8 0
"lncRNA_145" 0 8 6 7 3
"lncRNA_147" 14 12 23 8 6
"lncRNA_148" 16 10 11 8 56
"lncRNA_150" 2 11 11 13 3
"lncRNA_151" 1 0 51 1 21
"lncRNA_152" 0 0 0 0 76
"lncRNA_153" 11 20 6 6 1
"lncRNA_154" 0 0 17 8 0
"lncRNA_155" 14 1 50 9 1
"lncRNA_156" 3 4 14 1 0
"lncRNA_157" 0 5 24 10 2
"lncRNA_158" 9 33 16 10 0
"lncRNA_159" 0 10 2 18 60
"lncRNA_160" 12 3 145 13 12
"lncRNA_161" 6 8 66 1 0
"lncRNA_162" 1 11 16 42 70
"lncRNA_163" 0 0 0 2 8
"lncRNA_164" 14 68 187 83 162
"lncRNA_165" 25 1 25 47 6
"lncRNA_166" 12 83 0 3 26
"lncRNA_167" 4 6 2 2 9
"lncRNA_168" 1 15 8 0 24
"lncRNA_169" 3 10 4 5 2
"lncRNA_170" 51 57 22 21 1
"lncRNA_171" 33 6 8 20 24
"lncRNA_172" 8 11 17 9 4
"lncRNA_173" 86 6 63 92 13
"lncRNA_174" 64 99 73 46 31
"lncRNA_176" 104 45 104 111 17
"lncRNA_178" 0 6 68 29 11
"lncRNA_179" 54 33 0 0 0
"lncRNA_180" 4 6 0 0 18
"lncRNA_181" 9 20 9 6 0
"lncRNA_182" 8 34 6 69 0
"lncRNA_183" 0 5 42 2 27
"lncRNA_184" 160 14 165 126 57
"lncRNA_191" 64 6 50 34 5
"lncRNA_192" 0 26 40 29 15
"lncRNA_193" 10 33 92 33 40
"lncRNA_194" 98 9 225 36 10
"lncRNA_196" 804 2242 486 1102 849
"lncRNA_197" 38 61 65 68 97
"lncRNA_198" 1 12 6 6 7
"lncRNA_200" 691 846 282 860 419
"lncRNA_201" 500 748 516 959 1373
"lncRNA_202" 3 7 0 13 9
"lncRNA_203" 786 569 719 762 635
"lncRNA_204" 0 40 0 0 118
"lncRNA_205" 10 132 10 41 27
"lncRNA_206" 0 12 16 31 0
"lncRNA_207" 28 220 74 275 92
"lncRNA_208" 23 0 0 23 6
"lncRNA_211" 7 9 7 18 49
"lncRNA_213" 10 0 0 4 51
"lncRNA_214" 76 20 8 21 34
"lncRNA_217" 66 51 0 16 24
"lncRNA_218" 9 13 37 26 0
"lncRNA_223" 18 49 10 0 17
"lncRNA_224" 26 18 12 11 10
"lncRNA_226" 2 882 134 746 1144
"lncRNA_227" 1 22 14 24 27
"lncRNA_228" 83 91 47 148 175
"lncRNA_229" 107 93 107 149 38
"lncRNA_230" 6580 1868 9792 3695 6405
"lncRNA_231" 8 14 19 9 0
"lncRNA_233" 2 2 11 15 26
"lncRNA_234" 55 37 9 64 14
"lncRNA_235" 267 99 266 177 304
"lncRNA_236" 1060 1220 1522 1064 2917
"lncRNA_237" 16 59 74 32 7
"lncRNA_238" 923 1255 1421 1241 1067
"lncRNA_239" 0 22 0 0 0
"lncRNA_247" 1173 957 673 889 1334
"lncRNA_248" 1271 251 1291 538 518
"lncRNA_249" 37 8 8 15 29
"lncRNA_251" 1509 714 373 1254 1135
"lncRNA_254" 843 176 1013 207 404
"lncRNA_255" 3 0 30 17 68
"lncRNA_259" 211 367 278 147 28
"lncRNA_260" 55 0 29 14 24
"lncRNA_261" 172 343 115 330 165
"lncRNA_264" 192 327 377 565 172
"lncRNA_265" 0 26 43 1 26
"lncRNA_266" 7519 1901 8354 3134 4123
"lncRNA_267" 7 41 39 55 12
"lncRNA_268" 11 19 62 7 0
"lncRNA_269" 7 101 7 10 42
"lncRNA_270" 105 38 41 12 112
"lncRNA_285" 203 938 479 989 678
"lncRNA_286" 150 41 71 90 0
"lncRNA_288" 198 55 344 67 8
"lncRNA_291" 6 42 2 28 23
"lncRNA_292" 287 28 350 179 121
"lncRNA_293" 0 2 6 13 0
"lncRNA_294" 76 98 76 237 211
"lncRNA_295" 550 738 1065 1021 834
"lncRNA_297" 36 94 50 1 144
"lncRNA_301" 0 26 11 0 7
"lncRNA_304" 332 235 262 288 127
"lncRNA_305" 14 2 46 115 14
"lncRNA_306" 14 0 24 57 5
"lncRNA_307" 2 17 12 16 117
"lncRNA_308" 14 24 1 7 3
"lncRNA_309" 15 31 4 6 0
"lncRNA_311" 2 6 4 1 30
"lncRNA_312" 22 13 23 29 168
"lncRNA_316" 77 31 0 2 0
"lncRNA_317" 34 48 29 6 26
"lncRNA_318" 34 38 31 22 9
"lncRNA_319" 195 84 382 210 117
"lncRNA_320" 477 635 1239 833 2
"lncRNA_321" 155 251 369 215 98
"lncRNA_322" 240 218 166 247 92
"lncRNA_323" 8637 5921 5603 9439 12540
