"","miRNA_id","ACR.140.TP2","ACR.145.TP2","ACR.150.TP2","ACR.173.TP2","ACR.178.TP2"
"1","Adi-MiR-G-Novel-17_5p*_Acropora_digitifera__Praher_et_al._2021_NA",1.78571428571429,0,2.56410256410256,4.16666666666667,0
"2","Adi-Mir-100_5p_Acropora_digitifera_Gajigan_&_Conaco_2017_mir-100",0,0,0,0,0
"3","Adi-Mir-2022_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2022-3p",0,0,0,0,0
"4","Adi-Mir-2025_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2025-3p",1.11111111111111,4.48484848484849,1.66666666666667,3.55731225296443,1.81818181818182
"5","Adi-Mir-Novel-17_5p*_Acropora_digitifera_Gajigan_&_Conaco_2017_NA",1.78571428571429,0,2.56410256410256,4.16666666666667,0
"6","Adi-Mir-Novel-18_5p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-9463",26.6666666666667,95.6521739130435,52.0180436847103,54.1818181818182,62.5
"7","Adi-Mir-Novel-1_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-9437",0,0,0,0,0
"8","Adi-Mir-Novel-3_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2028-5p",23.5294117647059,13.3333333333333,0,47.0588235294118,0
"9","Adi-Mir-Novel-9_5p_Acropora_digitifera_Gajigan_&_Conaco_2017_NA",92.6739926739927,88.3193277310924,98.9583333333333,90,95.1428571428571
"10","adi-miR-P-novel-1-3p_Acropora_digitifera__Praher_et_al._2021_NA",0,0,0,0,0
"11","adi-nve-F-miR-100_Acropora_digitifera__Praher_et_al._2021_NA",0,0,0,0,0
"12","adi-nve-F-miR-2025_Acropora_digitifera__Praher_et_al._2021_NA",1.11111111111111,4.48484848484849,1.66666666666667,3.55731225296443,1.81818181818182
"13","ami-miR-P-novel-1-3p_Acropora_millepora_Praher_et_al._2021_NA",0,0,0,0,0
"14","ami-miR-P-novel-13-3p_Acropora_millepora_Praher_et_al._2021_NA",0,0,0,0,0
"15","ami-miR-P-novel-15-3p_Acropora_millepora_Praher_et_al._2021_NA",100,95,90.9090909090909,95.2380952380952,100
"16","ami-miR-P-novel-28-5p_Acropora_millepora_Praher_et_al._2021_NA",0,NA,0,0,0
"17","ami-miR-P-novel-6-5p_Acropora_millepora_Praher_et_al._2021_NA",35.7142857142857,50,18.1818181818182,68.1818181818182,30.7692307692308
"18","ami-miR-P-novel-8-3p_Acropora_millepora_Praher_et_al._2021_NA",0,0,50,7.69230769230769,7.63157894736842
"19","ami-nve-F-miR-100-5p_Acropora_millepora_Praher_et_al._2021_NA",0,0,0,0,0
"20","ami-nve-F-miR-2022-3p_Acropora_millepora_Praher_et_al._2021_NA",0,0,0,0,0
"21","ami-nve-F-miR-2025-3p_Acropora_millepora_Praher_et_al._2021_NA",1.75925925925926,6.76767676767677,2.26608187134503,2.96442687747036,1.51515151515152
"22","ami-nve-F-miR-2037-3p_Acropora_millepora_Praher_et_al._2021_NA",0,4.54545454545455,0,0,0
"23","ami-spi-miR-L-temp-14-5p_Acropora_millepora_Praher_et_al._2021_NA",38.1578947368421,25,11.4718614718615,18.1818181818182,0
"24","apa-mir-2037_Exaiptasia_pallida_Baumgarten_et_al._2017_miR-2037",0,4.54545454545455,0,0,0
"25","avi-miR-temp-2037_Anemonia_viridis_Urbarova_et_al._2018_NA",0,4.54545454545455,0,0,0
"26","avi-miR-temp-43_Anemonia_viridis_Urbarova_et_al._2018_NA",0,NA,0,4.8780487804878,0
"27","bmo-miR-2779",6.72777777777778,0.849654377880184,5.42001067021576,2.21115188607449,4.53017998600046
"28","bta-miR-2478",38.2867132867133,8.04597701149425,7.14285714285714,29.8821548821549,1.96078431372549
"29","cgr-miR-1260",19.3441788269399,10.5290732606951,19.076992059171,20.3452319715653,14.1305587186885
"30","der-miR-974-5p",4.54545454545455,5.88235294117647,0,0,10.1190476190476
"31","dme-miR-974-5p",4.54545454545455,5.88235294117647,0,0,10.1190476190476
"32","dse-miR-974-5p",4.54545454545455,5.88235294117647,0,0,10.1190476190476
"33","eca-nve-F-miR-2022_Edwardsiella_carnea_Praher_et_al._2021_Transcriptome-level",0,0,0,0,0
"34","eca-nve-F-miR-2037_Edwardsiella_carnea_Praher_et_al._2021_Transcriptome-level",0,4.54545454545455,0,0,0
"35","efu-miR-9341",8.70861476095179,6.50838960782203,8.41486627149421,7.7801016188113,19.5045654828264
"36","ipu-miR-7550",25.2161469314916,16.6317018752784,24.0680249576126,19.1723590891196,22.2613858739067
"37","mse-miR-2779",25.2161469314916,16.6317018752784,24.0680249576126,19.1723590891196,22.2613858739067
"38","mse-nve-F-miR-2037-3p_Metridium_senile_Praher_et_al._2021_Transcriptome-level",0,4.54545454545455,0,0,0
"39","oni-miR-7550",25.2161469314916,16.6317018752784,24.0680249576126,19.1723590891196,22.2613858739067
"40","pal-miR-9993a-3p",0,0,0,0,3.44827586206897
"41","pxy-miR-8523",1.5625,4.28571428571429,0,0,0
"42","sca-nve-F-miR-2037-3p_Scolanthus_callimorphus_Praher_et_al._2021_Transcriptome-level",0,4.54545454545455,0,0,0
"43","spi-mir-temp-20_Stylophora_pistillata_Liew_et_al._2014_NA",0,4.54545454545455,0,0,0
"44","spi-mir-temp-25_Stylophora_pistillata_Liew_et_al._2014_Considered_bona_fideas_close_match_to_nve-_and_hma-miR-2022.",0,0,0,0,0
"45","spi-nve-F-miR-2037_Stylophora_pistillata_Praher_et_al._2021_NA",0,4.54545454545455,0,0,0
