readfile	mapping_type	sequence_length	sequence_count	read_count
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	U	<21	75394	584795
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	U	21	21672	168782
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	U	22	20300	207732
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	U	23	20570	173219
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	U	24	22124	168299
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	U	>24	291927	2459012
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	P	<21	43739	375256
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	P	21	8867	132338
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	P	22	7467	103963
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	P	23	7984	72778
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	P	24	9228	84979
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	P	>24	107196	1304979
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	R	<21	37316	423733
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	R	21	8081	143787
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	R	22	7160	486931
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	R	23	7658	144213
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	R	24	9430	403308
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	R	>24	122966	1088004
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	H	<21	13675	57025
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	H	21	2569	10961
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	H	22	1541	7801
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	H	23	1198	6631
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	H	24	1163	6177
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	H	>24	14420	393699
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	N	<21	49762	274499
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	N	21	23377	125915
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	N	22	23168	113162
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	N	23	22986	127558
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	N	24	35296	255462
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	N	>24	184664	2333974
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	U	<21	123673	573920
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	U	21	38549	185321
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	U	22	37300	256420
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	U	23	36476	203639
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	U	24	38739	223319
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	U	>24	488689	3495308
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	P	<21	63319	341596
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	P	21	13969	101417
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	P	22	12380	127966
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	P	23	12738	96774
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	P	24	14250	93897
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	P	>24	175433	1671326
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	R	<21	48713	126966
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	R	21	12293	35857
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	R	22	10920	35058
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	R	23	11305	38809
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	R	24	13717	52711
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	R	>24	177279	877142
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	H	<21	18975	61499
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	H	21	4357	24351
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	H	22	2573	8012
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	H	23	1928	7235
/home/shared/8TB_HDD_02/shedurkin/deep-dive-expression/E-Peve/output/05-Peve-sRNA-ShortStack_4.1.0/ShortStack_out/POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed.bam	H	24	2052	8756
