"","GO.ID","Term","Annotated","Significant","Expected","Fisher","type","miRNA"
"1","GO:0019700","organic phosphonate catabolic process",12,10,1.53,4.7e-08,"Biological.Process","Cluster_5981"
"2","GO:0003341","cilium movement",22,7,2.8,0.016,"Biological.Process","Cluster_5981"
"3","GO:0003417","growth plate cartilage development",2,2,0.25,0.016,"Biological.Process","Cluster_5981"
"4","GO:0002121","inter-male aggressive behavior",2,2,0.25,0.016,"Biological.Process","Cluster_5981"
"5","GO:0001933","negative regulation of protein phosphorylation",5,3,0.64,0.017,"Biological.Process","Cluster_5981"
"6","GO:0006886","intracellular protein transport",4,3,0.51,0.044,"Biological.Process","Cluster_5981"
"7","GO:0001745","compound eye morphogenesis",3,2,0.38,0.044,"Biological.Process","Cluster_5981"
"8","GO:0003676","nucleic acid binding",510,88,68.78,0.00014,"Molecular.Function","Cluster_5981"
"9","GO:0003964","RNA-directed DNA polymerase activity",135,33,18.21,0.00031,"Molecular.Function","Cluster_5981"
"10","GO:0005509","calcium ion binding",69,20,9.31,0.00049,"Molecular.Function","Cluster_5981"
"11","GO:0004252","serine-type endopeptidase activity",53,15,7.15,0.0032,"Molecular.Function","Cluster_5981"
"12","GO:0003677","DNA binding",268,39,36.14,0.00599,"Molecular.Function","Cluster_5981"
"13","GO:0005506","iron ion binding",31,8,4.18,0.04805,"Molecular.Function","Cluster_5981"
"14","GO:0003341","cilium movement",22,7,2.87,0.017,"Biological.Process","Cluster_15340"
"15","GO:0002931","response to ischemia",3,2,0.39,0.046,"Biological.Process","Cluster_15340"
"16","GO:0003964","RNA-directed DNA polymerase activity",135,47,21.11,1.4e-08,"Molecular.Function","Cluster_15340"
"17","GO:0003824","catalytic activity",1058,185,165.41,0.00056,"Molecular.Function","Cluster_15340"
"18","GO:0005388","P-type calcium transporter activity",4,4,0.63,0.00059,"Molecular.Function","Cluster_15340"
"19","GO:0005044","scavenger receptor activity",13,6,2.03,0.00909,"Molecular.Function","Cluster_15340"
"20","GO:0003676","nucleic acid binding",510,91,79.73,0.01554,"Molecular.Function","Cluster_15340"
