"","GO.ID","Term","Annotated","Significant","Expected","Fisher","type","miRNA"
"1","GO:0001947","heart looping",4,1,0.01,0.011,"Biological.Process","Cluster_19193"
"2","GO:0001782","B cell homeostasis",7,1,0.02,0.02,"Biological.Process","Cluster_19193"
"3","GO:0001764","neuron migration",8,1,0.02,0.022,"Biological.Process","Cluster_19193"
"4","GO:0005245","voltage-gated calcium channel activity",7,2,0.03,0.00047,"Molecular.Function","Cluster_19193"
"5","GO:0004777","succinate-semialdehyde dehydrogenase (NAD+) activit...",1,1,0,0.00493,"Molecular.Function","Cluster_19193"
"6","GO:0005319","lipid transporter activity",3,1,0.01,0.01472,"Molecular.Function","Cluster_19193"
"7","GO:0004806","triacylglycerol lipase activity",4,1,0.02,0.01958,"Molecular.Function","Cluster_19193"
"8","GO:0007605","sensory perception of sound",2,1,0.01,0.011,"Biological.Process","Cluster_10051"
"9","GO:0001732","formation of cytoplasmic translation initiation com...",6,1,0.03,0.033,"Biological.Process","Cluster_10051"
"10","GO:0005536","D-glucose binding",1,1,0.01,0.0077,"Molecular.Function","Cluster_10051"
"11","GO:0005502","11-cis retinal binding",2,1,0.02,0.0154,"Molecular.Function","Cluster_10051"
"12","GO:0000827","inositol-1,3,4,5,6-pentakisphosphate kinase activit...",2,1,0.02,0.0154,"Molecular.Function","Cluster_10051"
"13","GO:0008061","chitin binding",6,1,0.05,0.0456,"Molecular.Function","Cluster_10051"
"14","GO:0000294","nuclear-transcribed mRNA catabolic process, RNase M...",1,1,0,0.0028,"Biological.Process","Cluster_16409"
"15","GO:0002221","pattern recognition receptor signaling pathway",11,1,0.03,0.0307,"Biological.Process","Cluster_16409"
"16","GO:0001867","complement activation, lectin pathway",16,1,0.05,0.0444,"Biological.Process","Cluster_16409"
"17","GO:0004560","alpha-L-fucosidase activity",6,1,0.01,0.015,"Molecular.Function","Cluster_16409"
"18","GO:0005302","L-tyrosine transmembrane transporter activity",9,1,0.02,0.022,"Molecular.Function","Cluster_16409"
"19","GO:0004713","protein tyrosine kinase activity",12,1,0.03,0.029,"Molecular.Function","Cluster_16409"
"20","GO:0004197","cysteine-type endopeptidase activity",18,1,0.04,0.044,"Molecular.Function","Cluster_16409"
"21","GO:0001649","osteoblast differentiation",27,2,0.1,0.0034,"Biological.Process","Cluster_3250"
"22","GO:0001933","negative regulation of protein phosphorylation",5,1,0.02,0.0175,"Biological.Process","Cluster_3250"
"23","GO:0002020","protease binding",4,1,0.01,0.0098,"Molecular.Function","Cluster_3250"
"24","GO:0004715","non-membrane spanning protein tyrosine kinase activ...",6,1,0.01,0.0147,"Molecular.Function","Cluster_3250"
"25","GO:0005044","scavenger receptor activity",13,1,0.03,0.0316,"Molecular.Function","Cluster_3250"
"26","GO:0015386","potassium:proton antiporter activity",1,1,0,0.0025,"Molecular.Function","Cluster_15775"
"27","GO:0003723","RNA binding",131,2,0.32,0.0381,"Molecular.Function","Cluster_15775"
"28","GO:0002088","lens development in camera-type eye",1,1,0,0.0049,"Biological.Process","Cluster_15928"
"29","GO:0007605","sensory perception of sound",2,1,0.01,0.0098,"Biological.Process","Cluster_15928"
"30","GO:0001895","retina homeostasis",2,1,0.01,0.0098,"Biological.Process","Cluster_15928"
"31","GO:0001569","branching involved in blood vessel morphogenesis",2,1,0.01,0.0098,"Biological.Process","Cluster_15928"
"32","GO:0000212","meiotic spindle organization",2,1,0.01,0.0098,"Biological.Process","Cluster_15928"
"33","GO:0000086","G2/M transition of mitotic cell cycle",7,1,0.03,0.0341,"Biological.Process","Cluster_15928"
"34","GO:0002291","T cell activation via T cell receptor contact with ...",10,1,0.05,0.0484,"Biological.Process","Cluster_15928"
"35","GO:0005507","copper ion binding",18,2,0.05,0.001,"Molecular.Function","Cluster_15928"
"36","GO:0004940","beta1-adrenergic receptor activity",9,1,0.03,0.025,"Molecular.Function","Cluster_15928"
"37","GO:0004508","steroid 17-alpha-monooxygenase activity",17,1,0.05,0.047,"Molecular.Function","Cluster_15928"
"38","GO:0003863","3-methyl-2-oxobutanoate dehydrogenase (2-methylprop...",1,1,0,0.0039,"Molecular.Function","Cluster_4254"
"39","GO:0000146","microfilament motor activity",10,1,0.04,0.0381,"Molecular.Function","Cluster_4254"
"40","GO:0004672","protein kinase activity",86,2,0.33,0.0417,"Molecular.Function","Cluster_4254"
"41","GO:0019700","organic phosphonate catabolic process",12,2,0.08,0.0028,"Biological.Process","Cluster_5981"
"42","GO:0001933","negative regulation of protein phosphorylation",5,1,0.04,0.0348,"Biological.Process","Cluster_5981"
"43","GO:0004447","iodide peroxidase activity",1,1,0.01,0.0074,"Molecular.Function","Cluster_5981"
"44","GO:0004459","L-lactate dehydrogenase activity",1,1,0.01,0.0074,"Molecular.Function","Cluster_5981"
"45","GO:0003964","RNA-directed DNA polymerase activity",135,4,1,0.0155,"Molecular.Function","Cluster_5981"
"46","GO:0000016","lactase activity",4,1,0.03,0.0293,"Molecular.Function","Cluster_5981"
"47","GO:0070569","uridylyltransferase activity",4,1,0.03,0.0293,"Molecular.Function","Cluster_5981"
"48","GO:0003333","amino acid transmembrane transport",2,1,0.01,0.013,"Biological.Process","Cluster_18728"
"49","GO:0006699","bile acid biosynthetic process",4,1,0.03,0.025,"Biological.Process","Cluster_18728"
"50","GO:0003964","RNA-directed DNA polymerase activity",135,4,0.71,0.0044,"Molecular.Function","Cluster_18728"
"51","GO:0005324","long-chain fatty acid transmembrane transporter act...",1,1,0.01,0.0053,"Molecular.Function","Cluster_18728"
"52","GO:0005319","lipid transporter activity",3,2,0.02,0.0098,"Molecular.Function","Cluster_18728"
"53","GO:0005314","high-affinity L-glutamate transmembrane transporter...",2,1,0.01,0.0105,"Molecular.Function","Cluster_18728"
"54","GO:0000900","mRNA regulatory element binding translation repress...",3,1,0.02,0.0158,"Molecular.Function","Cluster_18728"
"55","GO:0004843","cysteine-type deubiquitinase activity",6,1,0.03,0.0313,"Molecular.Function","Cluster_18728"
"56","GO:0002003","angiotensin maturation",1,1,0,0.0021,"Biological.Process","Cluster_17776"
"57","GO:0000900","mRNA regulatory element binding translation repress...",3,1,0,0.0032,"Molecular.Function","Cluster_17776"
"58","GO:0003677","DNA binding",268,2,0.28,0.025,"Molecular.Function","Cluster_17776"
"59","GO:0006884","cell volume homeostasis",1,1,0,7e-04,"Biological.Process","Cluster_3366"
"60","GO:0004566","beta-glucuronidase activity",2,1,0.01,0.0084,"Molecular.Function","Cluster_3366"
"61","GO:0000182","rDNA binding",4,1,0.02,0.0168,"Molecular.Function","Cluster_3366"
"62","GO:0005539","glycosaminoglycan binding",5,1,0.02,0.021,"Molecular.Function","Cluster_3366"
"63","GO:0002268","follicular dendritic cell differentiation",1,1,0,0.0028,"Biological.Process","Cluster_4220"
"64","GO:0003333","amino acid transmembrane transport",2,1,0.01,0.0056,"Biological.Process","Cluster_4220"
"65","GO:0001701","in utero embryonic development",15,1,0.04,0.0416,"Biological.Process","Cluster_4220"
"66","GO:0000030","mannosyltransferase activity",12,1,0.04,0.037,"Molecular.Function","Cluster_4220"
"67","GO:0060271","cilium assembly",3,1,0.01,0.0063,"Biological.Process","Cluster_15316"
"68","GO:0001736","establishment of planar polarity",5,1,0.01,0.0105,"Biological.Process","Cluster_15316"
"69","GO:0004447","iodide peroxidase activity",1,1,0,7e-04,"Molecular.Function","Cluster_15316"
"70","GO:0002161","aminoacyl-tRNA editing activity",1,1,0,0.0032,"Molecular.Function","Cluster_14402"
"71","GO:0005249","voltage-gated potassium channel activity",42,2,0.13,0.0072,"Molecular.Function","Cluster_14402"
"72","GO:0004867","serine-type endopeptidase inhibitor activity",4,1,0.01,0.0126,"Molecular.Function","Cluster_14402"
"73","GO:0001640","adenylate cyclase inhibiting G protein-coupled glut...",10,1,0.03,0.0313,"Molecular.Function","Cluster_14402"
"74","GO:0000183","rDNA heterochromatin formation",1,1,0.01,0.0092,"Biological.Process","Cluster_15340"
"75","GO:0001951","intestinal D-glucose absorption",1,1,0.01,0.0092,"Biological.Process","Cluster_15340"
"76","GO:0007268","chemical synaptic transmission",1,1,0.01,0.0092,"Biological.Process","Cluster_15340"
"77","GO:0006487","protein N-linked glycosylation",19,2,0.17,0.0121,"Biological.Process","Cluster_15340"
"78","GO:0001558","regulation of cell growth",3,1,0.03,0.0272,"Biological.Process","Cluster_15340"
"79","GO:0003777","microtubule motor activity",16,2,0.14,0.0083,"Molecular.Function","Cluster_15340"
"80","GO:0000900","mRNA regulatory element binding translation repress...",3,1,0.03,0.0262,"Molecular.Function","Cluster_15340"
"81","GO:0004709","MAP kinase kinase kinase activity",3,1,0.03,0.0262,"Molecular.Function","Cluster_15340"
"82","GO:0005388","P-type calcium transporter activity",4,1,0.04,0.0348,"Molecular.Function","Cluster_15340"
"83","GO:0005539","glycosaminoglycan binding",5,1,0.04,0.0433,"Molecular.Function","Cluster_15340"
