#Coverage	Number of genomic locations
0.0	6.2125234E7
1.0	3762336.0
2.0	1.9110423E7
3.0	3122379.0
4.0	1.2136871E7
5.0	2940327.0
6.0	9488235.0
7.0	2908928.0
8.0	8115783.0
9.0	2922005.0
10.0	7275396.0
11.0	2966670.0
12.0	6691704.0
13.0	2987455.0
14.0	6234458.0
15.0	3008581.0
16.0	5869640.0
17.0	2995242.0
18.0	5554158.0
19.0	2991414.0
20.0	5268083.0
21.0	2968486.0
22.0	5013719.0
23.0	2941398.0
24.0	4788218.0
25.0	2901464.0
26.0	4562882.0
27.0	2860585.0
28.0	4344896.0
29.0	2801600.0
30.0	4147148.0
31.0	2742816.0
32.0	3958198.0
33.0	2674304.0
34.0	3785150.0
35.0	2614185.0
36.0	3617411.0
37.0	2543337.0
38.0	3446500.0
39.0	2467618.0
40.0	3302096.0
41.0	2400668.0
42.0	3143324.0
43.0	2331603.0
44.0	3006987.0
45.0	2259134.0
46.0	2876638.0
47.0	2190822.0
48.0	2743308.0
49.0	2117054.0
50.0	2625698.0
51.0	2046444.0
52.0	2511611.0
53.0	1972916.0
54.0	2394064.0
55.0	1900070.0
56.0	2289118.0
57.0	1829093.0
58.0	2179996.0
59.0	1761696.0
60.0	2087552.0
61.0	1698622.0
62.0	1994214.0
63.0	1633266.0
64.0	1903615.0
65.0	1570676.0
66.0	1813935.0
67.0	1506561.0
68.0	1738757.0
69.0	1450259.0
70.0	1662845.0
71.0	1396237.0
72.0	1586830.0
73.0	1344341.0
74.0	1513417.0
75.0	1291055.0
76.0	1444638.0
77.0	1234120.0
78.0	1380701.0
79.0	1187617.0
80.0	1312238.0
81.0	1137491.0
82.0	1255197.0
83.0	1090682.0
84.0	1199417.0
85.0	1046421.0
86.0	1146184.0
87.0	1002293.0
88.0	1090703.0
89.0	957436.0
90.0	1041104.0
91.0	920833.0
92.0	994850.0
93.0	879434.0
94.0	948705.0
95.0	840790.0
96.0	901449.0
97.0	803210.0
98.0	860338.0
99.0	768445.0
100.0	817805.0
101.0	736325.0
102.0	782000.0
103.0	701975.0
104.0	745464.0
105.0	671526.0
106.0	712293.0
107.0	639227.0
108.0	680185.0
109.0	611638.0
110.0	647616.0
111.0	583957.0
112.0	615772.0
113.0	559436.0
114.0	586450.0
115.0	535186.0
116.0	557694.0
117.0	511109.0
118.0	530242.0
119.0	487739.0
120.0	505571.0
121.0	465498.0
122.0	479395.0
123.0	440628.0
124.0	456043.0
125.0	422493.0
126.0	434448.0
127.0	402179.0
128.0	414497.0
129.0	383380.0
130.0	394355.0
131.0	365671.0
132.0	376894.0
133.0	347879.0
134.0	357825.0
135.0	333054.0
136.0	340073.0
137.0	316057.0
138.0	322614.0
139.0	301728.0
140.0	306922.0
141.0	287181.0
142.0	292468.0
143.0	272861.0
144.0	277794.0
145.0	259390.0
146.0	264467.0
