#Duplication rate	Coverage
1.0	1.0039221E7
2.0	2.7432805E7
3.0	2487149.0
4.0	5693640.0
5.0	896410.0
6.0	1871424.0
7.0	434598.0
8.0	825255.0
9.0	251118.0
10.0	433141.0
11.0	159526.0
12.0	252733.0
13.0	108044.0
14.0	159348.0
15.0	76881.0
16.0	105124.0
17.0	55606.0
18.0	72328.0
19.0	41278.0
20.0	51429.0
21.0	31685.0
22.0	37241.0
23.0	23882.0
24.0	27598.0
25.0	18805.0
26.0	20852.0
27.0	14266.0
28.0	15687.0
29.0	11288.0
30.0	11989.0
31.0	8956.0
32.0	9212.0
33.0	7061.0
34.0	7325.0
35.0	5627.0
36.0	5651.0
37.0	4585.0
38.0	4642.0
39.0	3715.0
40.0	3627.0
41.0	3030.0
42.0	2833.0
43.0	2349.0
44.0	2363.0
45.0	1955.0
46.0	1918.0
47.0	1611.0
48.0	1600.0
49.0	1250.0
50.0	15751.0
