species,pcc_threshold,mirna_mrna_edges,mirna_lncrna_edges,cerna_edges,total_edges,net_nodes,net_miRNA,net_lncRNA,net_mRNA,epi_mirna_active,epi_mach_in_net,epi_fb_edges,epi_fb_pairs,epi_fb_mirnas,epi_fb_mrnas
A. pulchra,0.88,2187,560,3150,5897,2279,39,441,1799,24,33,35,33,22,33
A. pulchra,0.9,1683,439,2779,4901,1842,39,367,1436,24,24,25,23,17,23
A. pulchra,0.93,1063,270,2064,3397,1319,39,272,1008,24,18,15,15,12,15
A. pulchra,0.95,676,176,1585,2437,1022,39,209,774,24,16,13,13,11,13
A. pulchra,0.97,336,113,803,1252,655,36,154,465,23,8,5,5,5,5
A. pulchra,0.99,63,17,231,311,249,27,65,157,19,2,1,1,1,1
P. evermanni,0.88,1267,175,445,1887,1293,42,160,1091,8,14,18,15,8,14
P. evermanni,0.9,1267,175,378,1820,1293,42,160,1091,8,14,18,15,8,14
P. evermanni,0.93,1267,175,286,1728,1293,42,160,1091,8,14,18,15,8,14
P. evermanni,0.95,1267,175,213,1655,1293,42,160,1091,8,14,18,15,8,14
P. evermanni,0.97,1267,175,153,1595,1293,42,160,1091,8,14,18,15,8,14
P. evermanni,0.99,1267,175,45,1487,1293,42,160,1091,8,14,18,15,8,14
P. tuahiniensis,0.88,893,551,3213,4657,1252,37,386,829,11,15,15,15,10,15
P. tuahiniensis,0.9,724,425,2849,3998,1086,37,330,719,11,10,10,10,8,10
P. tuahiniensis,0.93,468,222,2183,2873,848,36,259,553,11,5,4,4,3,4
P. tuahiniensis,0.95,263,120,1641,2024,687,35,212,440,11,5,4,4,3,4
P. tuahiniensis,0.97,116,51,1039,1206,486,30,160,296,10,0,0,0,0,0
P. tuahiniensis,0.99,21,12,350,383,256,12,88,156,6,0,0,0,0,0
