species,pcc_threshold,mirna_mrna_edges,mirna_lncrna_edges,cerna_edges,total_edges,net_nodes,net_miRNA,net_lncRNA,net_mRNA,epi_mirna_active,epi_mach_in_net,epi_fb_edges,epi_fb_pairs,epi_fb_mirnas,epi_fb_mrnas
A. pulchra,0.878,100,100,100,100,100,100,442,1821,100,100,100,100,24,34
A. pulchra,0.9,75.7,77.8,87.6,82.3,80,100,367,1436,100,70.6,67.6,65.7,17,23
A. pulchra,0.925,52.1,51.8,69.2,61.2,60.8,100,288,1073,100,55.9,43.2,45.7,12,16
A. pulchra,0.95,30.4,31.2,50,40.9,44.4,100,209,774,100,47.1,35.1,37.1,11,13
A. pulchra,0.975,12.2,14.5,21,17.1,25.1,89.7,139,403,95.8,17.6,10.8,11.4,4,4
A. pulchra,0.99,2.8,3,7.3,5.2,10.8,69.2,65,157,79.2,5.9,2.7,2.9,1,1
P. evermanni,0.878,100,100,100,100,100,100,160,1091,100,100,100,100,8,14
P. evermanni,0.9,100,100,84,96.2,100,100,160,1091,100,100,100,100,8,14
P. evermanni,0.925,100,100,69.6,92.8,100,100,160,1091,100,100,100,100,8,14
P. evermanni,0.95,100,100,47.3,87.5,100,100,160,1091,100,100,100,100,8,14
P. evermanni,0.975,100,100,28.2,82.9,100,100,160,1091,100,100,100,100,8,14
P. evermanni,0.99,100,100,10,78.6,100,100,160,1091,100,100,100,100,8,14
P. tuahiniensis,0.878,100,100,100,100,100,100,393,836,100,100,100,100,11,16
P. tuahiniensis,0.9,80.3,75.4,87.8,84.9,85.8,100,330,719,100,62.5,62.5,62.5,8,10
P. tuahiniensis,0.925,56,46.8,70.9,65.1,70.5,100,274,581,100,43.8,37.5,37.5,5,6
P. tuahiniensis,0.95,29.2,21.3,50.6,43,54.3,94.6,212,440,100,31.2,25,25,3,4
P. tuahiniensis,0.975,8.9,6.9,27.1,21.2,34.1,67.6,144,263,90.9,0,0,0,0,0
P. tuahiniensis,0.99,2.3,2.1,10.8,8.1,20.2,32.4,88,156,54.5,0,0,0,0,0
