"","V1","V2","V3","V4.x","V5","V6","V7","V8","V9","V10","V11","V4.y","PCC.cor","p_value","adjusted_p_value"
"1","Cluster_10051","ntLink_6:10930332-10931332",162,-20.74,2,16,228,250,15,"86.67%","93.33%","FUN_001302",0.556618329788337,0.329810900746884,0.998649612991003
"2","Cluster_10051","ntLink_6:18056608-18057608",156,-23.09,2,13,164,185,11,"90.91%","100.00%","FUN_001940",-0.606931835192589,0.277719351592368,0.998649612991003
"3","Cluster_10051","ntLink_6:20379023-20380023",156,-23.87,2,13,235,256,11,"90.91%","100.00%","FUN_002141",NA,NA,NA
"4","Cluster_10051","ntLink_8:13885789-13886789",162,-21.42,2,21,70,90,19,"73.68%","84.21%","FUN_003641",NA,NA,NA
"5","Cluster_10051","ntLink_8:21438604-21439604",176,-24.65,2,21,616,637,19,"78.95%","89.47%","FUN_004272",0.856504037851698,0.0638289080874818,0.976579034586675
"6","Cluster_10051","ntLink_8:23351209-23352209",145,-22.56,2,10,16,37,8,"100.00%","100.00%","FUN_004448",0.874381341254024,0.0524273326894244,0.96546924320845
"7","Cluster_10051","ntLink_8:34778195-34779195",162,-22.68,2,21,64,84,19,"73.68%","84.21%","FUN_005387",0.846282157987883,0.070655197826574,0.983915773335456
"8","Cluster_10051","ntLink_8:7220911-7221911",158,-24.78,2,16,784,806,15,"80.00%","93.33%","FUN_002872",0.978580789954302,0.00375092828341026,0.545343267336266
"9","Cluster_10051","ptg000001l:17192159-17193159",158,-22.25,2,20,263,286,20,"70.00%","80.00%","FUN_006831",0.337654707334151,0.578399563867478,0.998649612991003
"10","Cluster_10051","ptg000001l:5265148-5266148",170,-22.02,2,19,878,899,17,"82.35%","88.24%","FUN_005888",0.975440230656255,0.00460324260998972,0.573023665500183
"11","Cluster_10051","ptg000001l:6239707-6240707",157,-20.34,2,21,880,904,22,"72.73%","81.82%","FUN_005968",0.703569004644295,0.184883173128681,0.998649612991003
"12","Cluster_10051","ptg000002l:11522556-11523001",159,-22.34,2,21,96,118,20,"65.00%","85.00%","FUN_008435",-0.76585723410925,0.131123643340224,0.998649612991003
"13","Cluster_10051","ptg000002l:11522556-11523001",159,-22.34,2,21,96,118,20,"65.00%","85.00%","FUN_008436",0.307387134462008,0.614876326134462,0.998649612991003
"14","Cluster_10051","ptg000002l:274236-275236",156,-23.87,2,13,76,97,11,"90.91%","100.00%","FUN_007232",NA,NA,NA
"15","Cluster_10051","ptg000002l:6500744-6501744",155,-20.77,2,21,4,26,20,"70.00%","75.00%","FUN_007951",-0.358898844961052,0.5530447881714,0.998649612991003
