gene_id,RNA-POC-47,RNA-POC-48,RNA-POC-50,RNA-POC-53,RNA-POC-57
Pocillopora_meandrina_HIv1___TS.g26186.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g27475.t1,0,0,0,510,51
Pocillopora_meandrina_HIv1___RNAseq.g7358.t1,0,0,0,0,7
Pocillopora_meandrina_HIv1___RNAseq.g2989.t1,0,0,0,0,9
Pocillopora_meandrina_HIv1___RNAseq.g5036.t1,0,63,0,0,0
STRG.8663,42,118,88,50,8
STRG.15043,60,114,47,116,29
STRG.8661,980,531,1280,521,292
STRG.15041,3375,2199,5401,1841,1373
STRG.15046,87,25,201,225,16
STRG.8666,134,56,255,86,23
STRG.15044,731,695,1264,623,477
STRG.8664,1833,1056,1732,1126,1496
STRG.15048,1986,836,1537,889,1163
STRG.8668,41,134,49,65,9
Pocillopora_meandrina_HIv1___RNAseq.g13198.t1,0,0,0,0,0
STRG.6544,234,290,352,429,412
STRG.6545,487,418,558,426,203
STRG.6546,2732,1261,2256,2101,595
STRG.6547,26,47,0,25,120
STRG.6540,22,4,0,9,16
STRG.6541,1297,1655,1454,1756,759
STRG.6542,91,6,47,60,0
STRG.6543,229,265,228,295,86
STRG.6548,180,630,152,282,109
STRG.6549,3002,2512,3072,2085,713
STRG.17574,95,166,35,466,112
STRG.2435,1,0,0,0,0
STRG.2436,154,407,154,429,137
STRG.17577,480,463,382,392,262
STRG.2430,691,519,695,546,151
STRG.2431,590,894,879,890,550
STRG.17572,1,18,8,11,13
STRG.2433,206,756,233,600,330
STRG.2438,1131,879,1283,985,1043
STRG.2439,10,85,64,93,98
Pocillopora_meandrina_HIv1___RNAseq.g17854.t1,0,12,7,31,16
STRG.15594,117,247,545,472,80
STRG.15595,27,6,2,77,0
STRG.15596,216,791,469,745,92
STRG.15597,181,289,224,275,59
STRG.15590,83,367,747,558,184
STRG.15591,21,112,146,0,0
STRG.15592,397,731,1073,421,128
STRG.15593,87,366,246,255,50
Pocillopora_meandrina_HIv1___RNAseq.g13060.t1,0,0,0,0,0
STRG.15598,307,356,485,500,189
STRG.15599,76,130,19,81,26
STRG.12065,1545,938,1847,1753,484
STRG.12064,279,293,509,266,51
STRG.12067,274,221,468,261,43
STRG.12066,233,289,312,246,91
STRG.12061,51,13,128,3,69
STRG.12060,2840,23341,4892,10993,4278
STRG.12063,176,99,213,111,109
STRG.12062,1664,2990,2609,4783,1792
STRG.17686,10,22,0,0,0
STRG.17687,67,1616,1337,1652,1149
STRG.17684,6,0,0,0,0
STRG.17685,5,5,3,0,0
STRG.17682,6,4,9,7,6
STRG.12068,17,143,526,789,320
STRG.17680,89,2550,2007,2707,1599
STRG.17681,74,514,118,184,81
Pocillopora_meandrina_HIv1___RNAseq.g18483.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16004.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g9378.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g14626.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g18481.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g3537.t1,0,0,0,0,0
STRG.18751,32,4,6,0,0
STRG.1016,2704,2385,4009,3372,1427
STRG.18753,3733,2074,5051,2703,1604
STRG.18752,104,244,340,327,152
STRG.1013,224,593,365,429,0
STRG.18754,347,588,492,863,243
STRG.1011,110482,88019,107784,90327,66227
STRG.1010,1887,842,1971,1081,1874
STRG.18759,4573,2904,6193,3605,6272
STRG.18758,2917,4739,4233,6440,2567
Pocillopora_meandrina_HIv1___RNAseq.g30031.t1,0,0,0,0,0
STRG.1019,9664,11349,14347,13003,3614
STRG.1018,1671,906,2420,1666,1491
STRG.14885,164,257,100,200,154
STRG.14884,260,252,215,342,125
Pocillopora_meandrina_HIv1___RNAseq.g16006.t1,0,0,0,0,0
STRG.14886,815,938,1481,901,727
STRG.14881,17,0,7,0,0
STRG.14880,116,37,50,309,0
STRG.14883,28,85,0,36,31
STRG.14882,67,0,0,115,163
STRG.14889,1607,3155,2635,3104,553
STRG.14888,1337,984,2129,710,821
Pocillopora_meandrina_HIv1___RNAseq.g26994.t1,0,12,0,0,15
Pocillopora_meandrina_HIv1___RNAseq.g24459.t1,0,0,18,0,0
Pocillopora_meandrina_HIv1___RNAseq.g203.t1,0,0,11,0,0
STRG.18289,19,25,33,18,12
STRG.18288,311,302,267,107,63
Pocillopora_meandrina_HIv1___RNAseq.g7852.t1,0,0,0,0,0
STRG.18283,1111,372,1183,340,504
STRG.18282,817,428,1633,520,862
STRG.18281,81,215,255,241,94
STRG.18280,1756,1103,1639,2577,974
STRG.18287,41,55,90,89,67
STRG.9882,1173,3178,2531,3723,4423
STRG.18285,437,169,435,415,157
STRG.18284,1295,691,2508,1113,1188
STRG.19419,64,128,51,118,31
STRG.9885,12,205,0,0,80
STRG.16762,98,204,64,277,113
STRG.16763,395,664,369,811,133
STRG.16760,244,173,431,210,256
STRG.16761,1070,812,1230,870,562
STRG.16766,372,169,542,304,261
STRG.16767,54,92,17,3,42
STRG.16764,125,86,240,82,0
STRG.16765,118,247,259,78,215
STRG.16768,240,592,305,198,169
STRG.16769,20,6,95,90,138
Pocillopora_meandrina_HIv1___TS.g26027.t1a,0,0,0,11,0
Pocillopora_meandrina_HIv1___TS.g2397.t1,0,0,0,0,0
STRG.19415,177,243,293,203,49
STRG.8660,137,297,105,251,66
STRG.9889,16,0,0,0,0
STRG.8667,349,626,411,656,472
Pocillopora_meandrina_HIv1___RNAseq.g7153.t1,0,3,0,0,0
STRG.15047,23,0,44,0,18
STRG.8665,17469,13022,25160,22886,14616
Pocillopora_meandrina_HIv1___TS.g13769.t1,0,0,0,0,0
STRG.15045,336,236,342,213,153
STRG.19410,170,215,220,136,272
STRG.8669,6462,3237,10195,5469,2860
STRG.19486,469,733,594,771,315
STRG.19487,1305,203,744,317,404
STRG.19484,2434,1208,2141,2548,1438
STRG.15049,291,31,407,82,169
STRG.19482,445,937,856,891,1039
STRG.19483,181,196,215,132,162
STRG.19480,286,166,373,292,56
STRG.19481,1964,718,1481,1372,1855
STRG.19488,46,136,189,209,42
STRG.19489,1266,703,1297,1210,783
Pocillopora_meandrina_HIv1___TS.g700.t1a,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g700.t1b,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g700.t1c,0,0,4,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16225.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13014.t1,0,0,0,0,0
STRG.19158,2176,1479,2362,2062,1926
STRG.19159,55,58,0,10,6
Pocillopora_meandrina_HIv1___RNAseq.g11344.t1,0,0,0,0,0
STRG.19150,7949,9967,56694,36706,12462
STRG.19151,4279,14877,52511,20964,12244
STRG.19152,95,165,287,361,198
STRG.19153,4916,16046,41067,27071,10494
STRG.19154,155,182,306,331,160
STRG.19155,804,3362,8780,2491,1136
STRG.19156,134,151,232,192,90
STRG.19157,3477,12761,79021,37757,6542
STRG.6841,3,14,0,0,0
Pocillopora_meandrina_HIv1___TS.g25305.t1,0,18,9,13,5
STRG.6843,426,360,400,174,217
STRG.6842,819,482,1078,231,465
STRG.6845,37,30,72,99,30
STRG.6844,545,351,410,664,494
STRG.6847,214,160,124,173,257
STRG.6846,27,18,38,18,15
STRG.15864,2288,2868,1721,3372,2060
STRG.6848,26,27,38,0,17
STRG.15866,1060,1334,812,958,1073
STRG.15867,12,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g5034.t1,0,0,0,0,0
STRG.15861,16,12,0,13,20
STRG.15862,18,140,18,129,43
STRG.15863,32,0,11,2,14
STRG.4991,104,13,0,0,0
STRG.4990,37,0,0,13,0
STRG.4993,97,194,118,269,0
STRG.4992,13,4,4,1,0
STRG.4995,109,127,158,180,72
STRG.4994,105,188,513,641,102
STRG.4997,366,247,79,152,0
STRG.4996,1,2,1,1,0
STRG.4999,372,252,450,794,166
STRG.4998,103,493,140,248,125
STRG.257,305,210,412,443,440
STRG.256,167,330,426,340,137
STRG.255,1851,1052,2381,1648,1115
STRG.254,184,387,143,251,23
STRG.253,13,61,25,0,0
STRG.252,32,41,19,99,0
STRG.251,61,397,130,479,70
STRG.250,290,242,599,277,263
STRG.259,690,535,936,597,264
STRG.258,143,644,274,1442,207
STRG.21126,432,554,836,585,137
STRG.2434,265,206,373,230,87
STRG.10339,112,106,35,37,17
STRG.21125,3,0,0,0,0
STRG.21122,722,901,1022,772,613
STRG.21123,244,114,102,116,47
STRG.21120,110,171,208,147,32
STRG.21121,7923,9033,8214,8621,6837
STRG.10333,17,16,40,25,20
STRG.10332,31,157,62,142,63
STRG.10331,946,5324,1211,4470,1857
STRG.10330,54,52,32,102,49
STRG.10337,136,72,168,55,88
STRG.17576,280,222,405,386,104
STRG.21128,180,131,205,116,94
STRG.10334,341,751,564,741,391
Pocillopora_meandrina_HIv1___RNAseq.g6536.t1,0,0,0,0,0
STRG.20838,5257,6008,7986,6493,3111
STRG.20833,844,750,548,445,417
STRG.20832,5818,5077,7467,6266,1785
STRG.20831,21,223,148,155,66
Pocillopora_meandrina_HIv1___RNAseq.g26460.t1,0,0,53,39,0
STRG.20837,33,49,40,40,1
Pocillopora_meandrina_HIv1___TS.g4101.t1,0,0,0,0,17
STRG.20835,598,1332,561,1268,718
STRG.20834,319,415,201,194,99
STRG.2432,332,356,298,117,136
Pocillopora_meandrina_HIv1___RNAseq.g5428.t1a,0,0,0,0,0
STRG.14384,43,0,64,0,14
Pocillopora_meandrina_HIv1___RNAseq.g14322.t1,0,0,0,0,0
STRG.3509,4417,1945,4668,2472,2708
STRG.3508,1138,785,1607,1706,420
STRG.3507,293,357,543,465,74
STRG.3506,275,118,541,561,104
STRG.3505,634,46,1043,417,47
STRG.3504,886,1371,1316,1089,680
STRG.3503,1231,309,1088,1141,226
STRG.3502,2328,656,3598,2354,611
STRG.3501,1771,479,2308,1435,740
