#Coverage	Number of genomic locations
0.0	6.0766697E7
1.0	6133885.0
2.0	1.8583735E7
3.0	5090617.0
4.0	1.1785184E7
5.0	4680765.0
6.0	9127876.0
7.0	4493365.0
8.0	7714453.0
9.0	4334920.0
10.0	6774504.0
11.0	4215805.0
12.0	6105208.0
13.0	4129180.0
14.0	5649812.0
15.0	4028378.0
16.0	5275650.0
17.0	3938447.0
18.0	4935349.0
19.0	3844469.0
20.0	4680910.0
21.0	3743299.0
22.0	4434831.0
23.0	3639598.0
24.0	4222293.0
25.0	3534294.0
26.0	4005539.0
27.0	3427985.0
28.0	3838663.0
29.0	3321053.0
30.0	3664760.0
31.0	3210993.0
32.0	3499890.0
33.0	3110772.0
34.0	3348321.0
35.0	3004963.0
36.0	3210002.0
37.0	2896484.0
38.0	3067415.0
39.0	2800363.0
40.0	2935365.0
41.0	2694904.0
42.0	2814699.0
43.0	2596254.0
44.0	2686592.0
45.0	2495267.0
46.0	2581714.0
47.0	2402619.0
48.0	2467803.0
49.0	2311967.0
50.0	2362767.0
51.0	2218671.0
52.0	2257803.0
53.0	2129173.0
54.0	2157124.0
55.0	2040284.0
56.0	2064133.0
57.0	1953201.0
58.0	1969171.0
59.0	1868777.0
60.0	1879065.0
61.0	1790485.0
62.0	1798880.0
63.0	1712973.0
64.0	1718826.0
65.0	1640447.0
66.0	1641076.0
67.0	1565675.0
68.0	1567724.0
69.0	1502219.0
70.0	1494613.0
71.0	1436275.0
72.0	1428423.0
73.0	1373112.0
74.0	1362363.0
75.0	1308690.0
76.0	1299711.0
77.0	1246330.0
78.0	1234430.0
79.0	1196235.0
80.0	1180628.0
81.0	1141067.0
82.0	1125771.0
83.0	1084784.0
84.0	1078362.0
85.0	1039245.0
86.0	1024945.0
87.0	992145.0
88.0	977735.0
89.0	945789.0
90.0	931725.0
91.0	898367.0
92.0	882167.0
93.0	852288.0
94.0	838213.0
95.0	812450.0
96.0	798747.0
97.0	774637.0
98.0	758950.0
99.0	737730.0
100.0	723914.0
101.0	700321.0
102.0	688399.0
103.0	667475.0
104.0	653204.0
105.0	630906.0
106.0	617735.0
107.0	599959.0
108.0	588500.0
109.0	570306.0
110.0	558478.0
111.0	541260.0
112.0	531394.0
113.0	514818.0
114.0	502024.0
115.0	490824.0
116.0	477999.0
117.0	466445.0
118.0	454773.0
119.0	442138.0
120.0	430704.0
121.0	417501.0
122.0	405849.0
123.0	396365.0
124.0	386414.0
125.0	374209.0
126.0	367334.0
127.0	356655.0
128.0	347536.0
129.0	336759.0
130.0	328333.0
131.0	318642.0
132.0	313241.0
133.0	302275.0
134.0	296597.0
135.0	287894.0
136.0	281465.0
137.0	272762.0
138.0	264049.0
139.0	257256.0
140.0	250718.0
141.0	244773.0
142.0	238729.0
143.0	230901.0
144.0	225588.0
145.0	219160.0
146.0	213263.0
