#Coverage (X)	Coverage
1.0	83.86353208418865
2.0	82.2346918906567
3.0	77.2998203510132
4.0	75.94801776921113
5.0	72.81848707416721
6.0	71.57551982445882
7.0	69.15163165075236
8.0	67.95842807484416
9.0	65.90987139053837
10.0	64.75874254939683
11.0	62.959787334807245
12.0	61.840289230083584
13.0	60.21906415327293
14.0	59.12256913415728
15.0	57.62227350235149
16.0	56.55254624122094
17.0	55.151608537464384
18.0	54.105762263252316
19.0	52.795190770583694
20.0	51.77430015558398
21.0	50.531294401432156
22.0	49.537269266039516
23.0	48.35960927007913
24.0	47.393121715992535
25.0	46.271900736585756
26.0	45.33337643706616
27.0	44.26971402409954
28.0	43.35941985477218
29.0	42.34007101079746
30.0	41.458172407995185
31.0	40.48500313800592
32.0	39.632330735515545
33.0	38.70294234545924
34.0	37.87688341763231
35.0	36.987743855079856
36.0	36.18978228350225
37.0	35.3373730389667
38.0	34.56821783649353
39.0	33.75367226835152
40.0	33.01004179420998
41.0	32.23056182438876
42.0	31.51493576473652
43.0	30.76749839610406
44.0	30.078068635386657
45.0	29.364649809761247
46.0	28.702036933387816
47.0	28.016468238930045
48.0	27.378457843080838
49.0	26.723137973843208
50.0	26.10920002493816
51.0	25.481772243434122
