#Mapping quality	mapping quality
0.0	8487330.0
1.0	7908107.0
2.0	2.6948225E7
3.0	1.5045051E7
4.0	1.8629873E7
5.0	1.1881397E7
6.0	1.3458443E7
7.0	6350924.0
8.0	5992325.0
9.0	4935581.0
10.0	4746851.0
11.0	4703457.0
12.0	4715359.0
13.0	4535734.0
14.0	4677872.0
15.0	4698836.0
16.0	5008886.0
17.0	4989048.0
18.0	5372402.0
19.0	5482248.0
20.0	6044000.0
21.0	6988768.0
22.0	7308224.0
23.0	8074103.0
24.0	9003066.0
25.0	9266792.0
26.0	1.028905E7
27.0	1.0991731E7
28.0	1.1805396E7
29.0	1.1895052E7
30.0	1.1765452E7
31.0	1.0689531E7
32.0	9299092.0
33.0	7253688.0
34.0	5293913.0
35.0	3564254.0
36.0	2330599.0
37.0	1379498.0
38.0	844986.0
39.0	446081.0
40.0	730663.0
41.0	672793.0
42.0	1308536.0
