#Mapping quality	mapping quality
0.0	8443641.0
1.0	1.0401637E7
2.0	4.1128508E7
3.0	2.6581654E7
4.0	3.5695084E7
5.0	2.4943916E7
6.0	2.5538867E7
7.0	1.204097E7
8.0	1.0863737E7
9.0	9546959.0
10.0	8994247.0
11.0	8578714.0
12.0	8287945.0
13.0	7708024.0
14.0	7546683.0
15.0	7259220.0
16.0	7138650.0
17.0	6938924.0
18.0	6998372.0
19.0	6859552.0
20.0	7036400.0
21.0	7385561.0
22.0	7616423.0
23.0	8127615.0
24.0	8637133.0
25.0	8908725.0
26.0	9686347.0
27.0	1.0387159E7
28.0	1.131245E7
29.0	1.1982868E7
30.0	1.2723262E7
31.0	1.2770003E7
32.0	1.2533575E7
33.0	1.136491E7
34.0	9693119.0
35.0	7428081.0
36.0	5225057.0
37.0	3215721.0
38.0	1849671.0
39.0	955446.0
40.0	652404.0
41.0	523896.0
42.0	794519.0
