#Duplication rate	Coverage
1.0	2.757731E7
2.0	2.3740551E7
3.0	4500818.0
4.0	4247491.0
5.0	1407426.0
6.0	1374585.0
7.0	640814.0
8.0	621974.0
9.0	355313.0
10.0	338154.0
11.0	219697.0
12.0	205277.0
13.0	144527.0
14.0	132947.0
15.0	98938.0
16.0	89946.0
17.0	70019.0
18.0	63093.0
19.0	51062.0
20.0	45605.0
21.0	37258.0
22.0	33135.0
23.0	27301.0
24.0	24465.0
25.0	20568.0
26.0	18238.0
27.0	15487.0
28.0	13843.0
29.0	12012.0
30.0	10598.0
31.0	9140.0
32.0	7950.0
33.0	7009.0
34.0	6166.0
35.0	5461.0
36.0	4767.0
37.0	4157.0
38.0	3866.0
39.0	3226.0
40.0	2831.0
41.0	2606.0
42.0	2269.0
43.0	2046.0
44.0	1870.0
45.0	1566.0
46.0	1442.0
47.0	1289.0
48.0	1110.0
49.0	1034.0
50.0	11956.0
