"","lncRNA_id","POR.71.TP2","POR.76.TP2","POR.79.TP2","POR.82.TP2","POR.73.TP2"
"1","lncRNA_001",1.27867431115625,1.07707325354384,1.98355455806855,0.960029259218669,NA
"2","lncRNA_002",1.45454545454545,1.95935099185873,0,1.56164286599069,NA
"3","lncRNA_003",1.67581619370195,1.99513691125754,2.10567328838634,1.60298344147886,4.40999215643144
"4","lncRNA_004",74.3421052631579,67.3529411764706,37.9446640316206,37.3015873015873,NA
"5","lncRNA_005",86.3636363636364,NA,0,33.3333333333333,93.75
"6","lncRNA_006",0,0,5.55555555555556,0,NA
"7","lncRNA_007",0,0,0,0,NA
"8","lncRNA_008",1.61492470252575,2.23546261001041,1.25428224770865,1.96537531598317,0.97165991902834
"9","lncRNA_009",3.25,0,4.3859649122807,1.11111111111111,NA
"10","lncRNA_010",0,1.05882352941176,1.69972632731253,0.790598290598291,0
"11","lncRNA_011",0,2.66417678182384,2.15099715099715,2.52611585944919,NA
"12","lncRNA_013",0.975234457310809,2.36341194203017,1.37167898756339,1.45178778996588,NA
"13","lncRNA_014",0.975234457310809,2.36341194203017,1.37167898756339,1.45178778996588,NA
"14","lncRNA_015",1.24144543370369,2.04105220118144,1.42803321470422,1.61798381422862,1.12087912087912
"15","lncRNA_016",1.24144543370369,2.04105220118144,1.42803321470422,1.61798381422862,1.12087912087912
"16","lncRNA_017",1.24144543370369,2.04105220118144,1.42803321470422,1.61798381422862,1.12087912087912
"17","lncRNA_018",1.27964375474073,2.10385380737164,1.33819343401953,1.6677679315895,1.12087912087912
"18","lncRNA_019",2.27272727272727,1.47058823529412,2.78637770897833,1.92307692307692,0
"19","lncRNA_020",1.35808746102864,1.81340288749529,1.62275625349183,2.03662308925467,NA
"20","lncRNA_021",21.2146438011393,22.196835326634,26.5401634224054,25.226738219894,39.3465909090909
"21","lncRNA_022",10.0960626526965,9.81623112741227,10.5904749394151,10.2266587968033,5.33106960950764
"22","lncRNA_023",10.2177019617651,9.89146971242412,10.7180710230225,10.3502437973689,5.33106960950764
"23","lncRNA_024",17.7890644027233,17.4169424393034,18.6155829800752,18.1523144334408,7.86967418546366
"24","lncRNA_025",19.0509166144684,18.5997042486915,19.849133315134,19.2449779669646,7.86967418546366
