#Coverage (X)	Coverage
1.0	80.86425422888078
2.0	79.64802046450106
3.0	76.54940651175508
4.0	75.65060731124181
5.0	73.88383970498786
6.0	73.074138251976
7.0	71.73477739817719
8.0	70.93205153710885
9.0	69.75793763536274
10.0	68.93524358547128
11.0	67.8347782481199
12.0	66.97669796215862
13.0	65.9066882987139
14.0	65.0162649757607
15.0	63.95459077950461
16.0	63.03043771447764
17.0	61.97213645930567
18.0	61.02292449235317
19.0	59.96785590127925
20.0	59.00006062880646
21.0	57.946248734037475
22.0	56.96495855051894
23.0	55.910626786258504
24.0	54.92298505292571
25.0	53.87545034626291
26.0	52.8843046693714
27.0	51.84605308623051
28.0	50.85820449816856
29.0	49.83362602918677
30.0	48.853001291866605
31.0	47.84408929454604
32.0	46.873734422522276
33.0	45.88445060380948
34.0	44.930321489612176
35.0	43.96074898887788
36.0	43.02364473104042
37.0	42.07468665383956
38.0	41.15531973358279
39.0	40.231454840876665
40.0	39.33407497185171
41.0	38.434525860839145
42.0	37.56041160069942
43.0	36.68553616815359
44.0	35.835939907180844
45.0	34.9871362857067
46.0	34.16265838290269
47.0	33.34244393990073
48.0	32.54443383668516
49.0	31.751985956110758
50.0	30.98056306181887
51.0	30.215850607812087
