#Mapping quality	mapping quality
0.0	1.1163588E7
1.0	1.0375861E7
2.0	2.5967681E7
3.0	1.5269432E7
4.0	1.942233E7
5.0	1.6099169E7
6.0	1.8502388E7
7.0	1.3261783E7
8.0	1.3311143E7
9.0	1.2503299E7
10.0	1.2336356E7
11.0	1.2216222E7
12.0	1.2038627E7
13.0	1.1493959E7
14.0	1.1458501E7
15.0	1.1203343E7
16.0	1.1077124E7
17.0	1.0865219E7
18.0	1.1005917E7
19.0	1.0829156E7
20.0	1.1084996E7
21.0	1.1573016E7
22.0	1.1889296E7
23.0	1.2605029E7
24.0	1.3372978E7
25.0	1.3704628E7
26.0	1.4818184E7
27.0	1.574381E7
28.0	1.6805463E7
29.0	1.7076078E7
30.0	1.6989044E7
31.0	1.5512996E7
32.0	1.3500722E7
33.0	1.063339E7
34.0	7844439.0
35.0	5256584.0
36.0	3412307.0
37.0	2009301.0
38.0	1196684.0
39.0	649614.0
40.0	659837.0
41.0	485918.0
42.0	1037312.0
