#Coverage	Number of genomic locations
0.0	1.15542664E8
1.0	7343685.0
2.0	1.8709598E7
3.0	5426998.0
4.0	1.0667838E7
5.0	4889021.0
6.0	8087133.0
7.0	4846902.0
8.0	7089363.0
9.0	4967471.0
10.0	6644669.0
11.0	5181135.0
12.0	6460776.0
13.0	5376424.0
14.0	6410446.0
15.0	5580086.0
16.0	6390080.0
17.0	5731393.0
18.0	6370561.0
19.0	5843600.0
20.0	6362973.0
21.0	5925083.0
22.0	6366112.0
23.0	5963434.0
24.0	6325071.0
25.0	5984591.0
26.0	6269019.0
27.0	5964683.0
28.0	6186460.0
29.0	5921065.0
30.0	6091865.0
31.0	5859055.0
32.0	5973349.0
33.0	5761083.0
34.0	5854331.0
35.0	5658286.0
36.0	5729860.0
37.0	5551187.0
38.0	5578346.0
39.0	5418428.0
40.0	5431526.0
41.0	5277949.0
42.0	5282545.0
43.0	5129908.0
44.0	5125122.0
45.0	4978242.0
46.0	4952499.0
47.0	4818428.0
48.0	4784843.0
49.0	4657893.0
50.0	4617375.0
51.0	4487842.0
52.0	4448877.0
53.0	4322759.0
54.0	4274857.0
55.0	4160280.0
56.0	4113405.0
57.0	3995781.0
58.0	3943296.0
59.0	3831943.0
60.0	3767061.0
61.0	3673474.0
62.0	3610426.0
63.0	3521028.0
64.0	3455348.0
65.0	3364553.0
66.0	3304436.0
67.0	3212875.0
68.0	3160289.0
69.0	3077597.0
70.0	3018556.0
71.0	2936319.0
72.0	2873701.0
73.0	2796917.0
74.0	2734857.0
75.0	2661390.0
76.0	2597486.0
77.0	2532415.0
78.0	2472385.0
79.0	2405536.0
80.0	2345187.0
81.0	2279854.0
82.0	2223699.0
83.0	2166237.0
84.0	2114015.0
85.0	2055917.0
86.0	2004478.0
87.0	1949526.0
88.0	1897201.0
89.0	1839801.0
90.0	1796972.0
91.0	1739789.0
92.0	1690359.0
93.0	1643199.0
94.0	1598112.0
95.0	1549419.0
96.0	1509785.0
97.0	1459036.0
98.0	1422935.0
99.0	1376929.0
100.0	1337037.0
101.0	1297658.0
102.0	1262717.0
103.0	1224697.0
104.0	1190171.0
105.0	1151962.0
106.0	1120672.0
107.0	1082013.0
108.0	1053112.0
109.0	1018715.0
110.0	987972.0
111.0	955910.0
112.0	929444.0
113.0	896494.0
114.0	869993.0
115.0	842446.0
116.0	815352.0
117.0	790161.0
118.0	766186.0
119.0	741129.0
120.0	721154.0
121.0	695156.0
122.0	672988.0
123.0	650532.0
124.0	632535.0
125.0	609735.0
126.0	591019.0
127.0	571928.0
128.0	553610.0
129.0	535234.0
130.0	517303.0
131.0	497773.0
132.0	482561.0
133.0	466643.0
134.0	452581.0
135.0	438094.0
136.0	422519.0
137.0	409147.0
138.0	394784.0
139.0	382335.0
140.0	370341.0
141.0	357610.0
142.0	347168.0
143.0	334989.0
144.0	324148.0
145.0	313768.0
146.0	304308.0
147.0	295660.0
148.0	284315.0
149.0	275967.0
150.0	266178.0
151.0	257549.0
152.0	251487.0
153.0	242448.0
154.0	234857.0
155.0	228036.0
156.0	221060.0
157.0	214967.0
158.0	208445.0
159.0	202315.0
160.0	195964.0
161.0	189324.0
162.0	183854.0
163.0	177319.0
164.0	173221.0
165.0	167923.0
166.0	163569.0
167.0	157482.0
168.0	154828.0
169.0	149502.0
170.0	144555.0
171.0	141393.0
172.0	136897.0
173.0	133243.0
174.0	129570.0
175.0	126761.0
176.0	123174.0
177.0	119952.0
178.0	117026.0
179.0	113299.0
180.0	111021.0
181.0	107529.0
182.0	104534.0
183.0	102317.0
184.0	100365.0
185.0	97577.0
186.0	95059.0
187.0	93273.0
188.0	90704.0
189.0	87843.0
190.0	86149.0
191.0	84363.0
192.0	83014.0
193.0	80501.0
194.0	78666.0
195.0	76487.0
196.0	75050.0
197.0	73384.0
198.0	71858.0
199.0	70441.0
200.0	69098.0
201.0	67245.0
202.0	65316.0
203.0	64281.0
204.0	63285.0
205.0	62091.0
206.0	60936.0
207.0	59096.0
208.0	58708.0
209.0	57246.0
210.0	56290.0
211.0	54864.0
212.0	53937.0
213.0	52442.0
214.0	51762.0
215.0	51558.0
216.0	50000.0
217.0	49425.0
218.0	48295.0
219.0	47597.0
220.0	46651.0
221.0	45642.0
222.0	45210.0
223.0	44077.0
224.0	43679.0
225.0	42431.0
226.0	42262.0
227.0	41547.0
228.0	41152.0
229.0	39976.0
230.0	39616.0
231.0	39204.0
232.0	38879.0
233.0	37710.0
234.0	37439.0
235.0	36655.0
236.0	36102.0
237.0	35740.0
238.0	35044.0
239.0	34766.0
240.0	34082.0
241.0	33513.0
242.0	33063.0
243.0	32094.0
244.0	31337.0
245.0	31236.0
246.0	31042.0
247.0	30513.0
248.0	30313.0
249.0	29871.0
250.0	29177.0
251.0	28750.0
252.0	28516.0
253.0	27979.0
254.0	27803.0
255.0	27374.0
256.0	27012.0
257.0	26561.0
258.0	26332.0
259.0	25906.0
260.0	25417.0
261.0	24619.0
262.0	24973.0
263.0	24591.0
264.0	23828.0
265.0	23503.0
266.0	23393.0
267.0	23135.0
268.0	22754.0
269.0	22652.0
270.0	22261.0
271.0	22019.0
272.0	21693.0
273.0	21645.0
274.0	21392.0
275.0	21349.0
276.0	20852.0
277.0	20323.0
278.0	19880.0
279.0	19843.0
280.0	19929.0
281.0	19379.0
282.0	19477.0
283.0	19250.0
284.0	18936.0
285.0	18687.0
286.0	18459.0
287.0	18379.0
288.0	18209.0
289.0	17741.0
290.0	17662.0
291.0	17611.0
292.0	17260.0
293.0	17275.0
294.0	16944.0
295.0	16797.0
296.0	16625.0
297.0	16468.0
298.0	16245.0
299.0	16024.0
300.0	15592.0
301.0	15415.0
302.0	15360.0
303.0	15062.0
304.0	14938.0
305.0	14790.0
306.0	14779.0
307.0	14412.0
308.0	14281.0
309.0	14220.0
310.0	13925.0
311.0	13858.0
312.0	13583.0
313.0	13590.0
314.0	13355.0
315.0	13197.0
316.0	13094.0
317.0	13268.0
318.0	12851.0
319.0	12542.0
320.0	12389.0
321.0	12546.0
322.0	12381.0
323.0	12222.0
324.0	12117.0
325.0	11905.0
326.0	11933.0
327.0	11718.0
328.0	11648.0
329.0	11462.0
330.0	11314.0
331.0	11487.0
332.0	11238.0
333.0	11020.0
334.0	11257.0
335.0	10689.0
336.0	10884.0
337.0	10642.0
338.0	10400.0
339.0	10631.0
340.0	10342.0
341.0	10084.0
342.0	10222.0
343.0	10081.0
344.0	9887.0
345.0	9931.0
346.0	9791.0
347.0	9647.0
348.0	9844.0
349.0	9695.0
350.0	9591.0
351.0	9470.0
352.0	9678.0
353.0	9310.0
354.0	9358.0
355.0	9148.0
356.0	9254.0
357.0	9274.0
358.0	8919.0
359.0	8825.0
360.0	8854.0
361.0	8802.0
362.0	8493.0
363.0	8627.0
364.0	8629.0
365.0	8378.0
366.0	8507.0
367.0	8361.0
368.0	8336.0
369.0	8191.0
370.0	8424.0
371.0	8108.0
372.0	8046.0
373.0	7970.0
374.0	7989.0
375.0	7828.0
376.0	7973.0
377.0	7740.0
378.0	7819.0
379.0	7493.0
380.0	7524.0
381.0	7362.0
382.0	7367.0
383.0	7404.0
384.0	7145.0
385.0	7155.0
386.0	7075.0
387.0	6911.0
388.0	7020.0
389.0	6868.0
390.0	6806.0
391.0	6837.0
392.0	6619.0
393.0	6807.0
394.0	6755.0
395.0	6641.0
396.0	6616.0
397.0	6401.0
398.0	6527.0
399.0	6297.0
400.0	6538.0
401.0	6421.0
402.0	6304.0
403.0	6318.0
404.0	6274.0
405.0	6272.0
406.0	6170.0
407.0	6124.0
408.0	5888.0
409.0	5993.0
410.0	5918.0
411.0	5839.0
412.0	5961.0
413.0	5872.0
414.0	5774.0
415.0	5724.0
416.0	5733.0
417.0	5651.0
418.0	5630.0
419.0	5741.0
420.0	5489.0
421.0	5516.0
422.0	5621.0
423.0	5392.0
424.0	5413.0
425.0	5408.0
426.0	5380.0
427.0	5253.0
428.0	5279.0
429.0	5201.0
430.0	5327.0
431.0	5076.0
432.0	5078.0
433.0	4907.0
434.0	5096.0
435.0	4927.0
436.0	4992.0
437.0	5003.0
438.0	4906.0
439.0	4881.0
440.0	4759.0
441.0	4681.0
442.0	4796.0
443.0	4664.0
444.0	4540.0
445.0	4691.0
446.0	4623.0
447.0	4737.0
448.0	4609.0
449.0	4608.0
450.0	4334.0
451.0	4505.0
452.0	4461.0
453.0	4521.0
454.0	4413.0
455.0	4254.0
456.0	4388.0
457.0	4275.0
458.0	4108.0
459.0	4124.0
460.0	4297.0
461.0	4094.0
462.0	4040.0
463.0	3980.0
464.0	4057.0
465.0	3884.0
466.0	4064.0
467.0	3993.0
468.0	3988.0
469.0	3948.0
470.0	3958.0
471.0	3909.0
472.0	3856.0
473.0	3796.0
474.0	3848.0
475.0	3813.0
476.0	3744.0
477.0	3742.0
478.0	3766.0
479.0	3693.0
480.0	3720.0
481.0	3771.0
482.0	3812.0
483.0	3635.0
484.0	3619.0
485.0	3454.0
486.0	3600.0
487.0	3507.0
488.0	3547.0
489.0	3526.0
490.0	3477.0
491.0	3395.0
492.0	3364.0
493.0	3466.0
494.0	3286.0
495.0	3363.0
496.0	3372.0
497.0	3450.0
498.0	3304.0
499.0	3318.0
500.0	3384.0
501.0	3322.0
502.0	3285.0
503.0	3327.0
504.0	3261.0
505.0	3191.0
506.0	3141.0
507.0	3201.0
508.0	3128.0
509.0	3088.0
510.0	3130.0
511.0	3110.0
512.0	3101.0
513.0	3014.0
514.0	2998.0
515.0	3048.0
516.0	3031.0
517.0	2949.0
518.0	2962.0
519.0	2833.0
520.0	2817.0
521.0	2901.0
522.0	2726.0
523.0	2878.0
524.0	2756.0
525.0	2859.0
526.0	2802.0
527.0	2810.0
528.0	2738.0
529.0	2729.0
530.0	2727.0
531.0	2894.0
532.0	2712.0
533.0	2657.0
534.0	2683.0
535.0	2692.0
536.0	2657.0
537.0	2578.0
538.0	2614.0
539.0	2572.0
