#GC Content (%)	Sample
1.0	3.9720639972595936E-8
2.0	1.5888255989038375E-7
3.0	1.9860319986297967E-7
4.0	6.355302395615349E-7
5.0	1.3505017590682617E-6
6.0	2.105193918547585E-6
7.0	2.4229590383283517E-6
8.0	5.799213435999007E-6
9.0	1.2273677751532145E-5
10.0	2.8996067179995035E-5
11.0	7.920295610535631E-5
12.0	2.700606311736798E-4
13.0	7.922281642534258E-4
14.0	0.0021428888058815784
15.0	0.0052624684280493175
16.0	0.011563393267542185
17.0	0.02216570593030744
18.0	0.03768233561176221
19.0	0.05655806037441946
20.0	0.07601902904643294
21.0	0.09229936747264081
22.0	0.10257585172571088
23.0	0.10465236734219822
24.0	0.0990275672363189
25.0	0.09586898194569807
26.0	0.06573166133801042
27.0	0.058697771529103236
28.0	0.0449839028134447
29.0	0.03351516383095722
30.0	0.024356338945436075
31.0	0.017518033567753957
32.0	0.012480383961949533
33.0	0.008832837593266049
34.0	0.006346444692901462
35.0	0.004728146379137957
36.0	0.003744663333416481
37.0	0.003141267091592777
38.0	0.0026253754196287012
39.0	0.002017053818448394
40.0	0.0014108374111866352
41.0	8.922844563443951E-4
42.0	5.701897868066147E-4
43.0	3.622125159101023E-4
44.0	2.5266299086568276E-4
45.0	1.8128500083492783E-4
46.0	1.3775117942496268E-4
47.0	1.0371059096844799E-4
48.0	8.68690396200673E-5
49.0	7.344346330932989E-5
50.0	6.83592213928376E-5
51.0	3.821125565363729E-5
52.0	1.9701437426407582E-5
53.0	1.5173284469531646E-5
54.0	9.532953593423026E-6
55.0	8.103010554409572E-6
56.0	5.3225657563278555E-6
57.0	3.932343357286998E-6
58.0	3.4954163175884425E-6
59.0	1.747708158794221E-6
60.0	2.54212095824614E-6
61.0	9.930159993148984E-7
62.0	6.35530239561535E-7
63.0	1.0724572792600902E-6
64.0	6.752508795341309E-7
65.0	5.560889596163431E-7
66.0	4.369270396985553E-7
67.0	3.495416317588442E-6
68.0	3.177651197807675E-7
69.0	2.780444798081715E-7
70.0	3.972063997259593E-7
71.0	2.7804447980817157E-7
72.0	3.574857597533634E-7
73.0	1.9860319986297967E-7
74.0	1.1916191991778781E-7
75.0	1.310781119095666E-6
76.0	3.9720639972595934E-7
77.0	2.3832383983557562E-7
78.0	1.5888255989038375E-7
79.0	3.9720639972595936E-8
80.0	7.944127994519187E-7
81.0	1.5888255989038375E-7
82.0	1.5888255989038375E-7
83.0	1.5888255989038375E-7
84.0	2.7804447980817157E-7
85.0	3.9720639972595936E-8
86.0	1.5888255989038375E-7
87.0	1.9860319986297967E-7
88.0	3.9720639972595936E-8
89.0	1.1916191991778781E-7
90.0	7.944127994519187E-8
91.0	0.0
92.0	3.9720639972595936E-8
93.0	7.944127994519187E-8
94.0	3.9720639972595936E-8
95.0	0.0
96.0	3.9720639972595936E-8
97.0	0.0
98.0	0.0
99.0	0.0
100.0	5.759492796026411E-6
