#Duplication rate	Coverage
1.0	3.0881694E7
2.0	3.7937582E7
3.0	6297010.0
4.0	6810736.0
5.0	1912943.0
6.0	2000829.0
7.0	821514.0
8.0	831595.0
9.0	435085.0
10.0	424994.0
11.0	259411.0
12.0	245877.0
13.0	165353.0
14.0	153145.0
15.0	111390.0
16.0	100161.0
17.0	76053.0
18.0	68682.0
19.0	54535.0
20.0	48629.0
21.0	39217.0
22.0	34899.0
23.0	28837.0
24.0	25634.0
25.0	21343.0
26.0	19009.0
27.0	16410.0
28.0	14344.0
29.0	12148.0
30.0	10827.0
31.0	9592.0
32.0	8686.0
33.0	7454.0
34.0	6841.0
35.0	6048.0
36.0	5412.0
37.0	4687.0
38.0	4449.0
39.0	3981.0
40.0	3657.0
41.0	3385.0
42.0	3059.0
43.0	2748.0
44.0	2482.0
45.0	2407.0
46.0	2263.0
47.0	2005.0
48.0	1901.0
49.0	1820.0
50.0	45839.0
