"","GO.ID","Term","Annotated","Significant","Expected","Fisher","type","miRNA"
"1","GO:0006091","generation of precursor metabolites and energy",12,3,0.36,0.0046,"Biological.Process","Cluster_10051"
"2","GO:0000971","tRNA exon ligation utilizing 2',3' cyclic phosphate...",1,1,0.03,0.0301,"Biological.Process","Cluster_10051"
"3","GO:0001504","neurotransmitter uptake",1,1,0.03,0.0301,"Biological.Process","Cluster_10051"
"4","GO:0006623","protein targeting to vacuole",1,1,0.03,0.0301,"Biological.Process","Cluster_10051"
"5","GO:0003676","nucleic acid binding",510,35,20.27,5.9e-07,"Molecular.Function","Cluster_10051"
"6","GO:0008061","chitin binding",6,2,0.24,0.021,"Molecular.Function","Cluster_10051"
"7","GO:0003964","RNA-directed DNA polymerase activity",135,10,5.37,0.04,"Molecular.Function","Cluster_10051"
"8","GO:0000104","succinate dehydrogenase activity",1,1,0.04,0.04,"Molecular.Function","Cluster_10051"
"9","GO:0004748","ribonucleoside-diphosphate reductase activity, thio...",1,1,0.04,0.04,"Molecular.Function","Cluster_10051"
"10","GO:0004470","malic enzyme activity",1,1,0.04,0.04,"Molecular.Function","Cluster_10051"
"11","GO:0004095","carnitine O-palmitoyltransferase activity",1,1,0.04,0.04,"Molecular.Function","Cluster_10051"
"12","GO:0005536","glucose binding",1,1,0.04,0.04,"Molecular.Function","Cluster_10051"
"13","GO:0008424","glycoprotein 6-alpha-L-fucosyltransferase activity",1,1,0.04,0.04,"Molecular.Function","Cluster_10051"
"14","GO:0004371","glycerone kinase activity",1,1,0.04,0.04,"Molecular.Function","Cluster_10051"
"15","GO:0000082","G1/S transition of mitotic cell cycle",105,15,6.7,0.0018,"Biological.Process","Cluster_10057"
"16","GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening",2,2,0.13,0.004,"Biological.Process","Cluster_10057"
"17","GO:0001817","regulation of cytokine production",23,4,1.47,0.0348,"Biological.Process","Cluster_10057"
"18","GO:0001409","guanine nucleotide transmembrane transporter activi...",35,10,2.01,1.5e-05,"Molecular.Function","Cluster_10057"
"19","GO:0003676","nucleic acid binding",510,38,29.24,4.1e-05,"Molecular.Function","Cluster_10057"
"20","GO:0003964","RNA-directed DNA polymerase activity",135,15,7.74,0.0091,"Molecular.Function","Cluster_10057"
"21","GO:0001707","mesoderm formation",4,2,0.15,0.0083,"Biological.Process","Cluster_10093"
"22","GO:0002088","lens development in camera-type eye",1,1,0.04,0.0385,"Biological.Process","Cluster_10093"
"23","GO:0000390","spliceosomal complex disassembly",1,1,0.04,0.0385,"Biological.Process","Cluster_10093"
"24","GO:0006884","cell volume homeostasis",1,1,0.04,0.0385,"Biological.Process","Cluster_10093"
"25","GO:0000183","rDNA heterochromatin formation",1,1,0.04,0.0385,"Biological.Process","Cluster_10093"
"26","GO:0003676","nucleic acid binding",510,42,27.98,1.4e-05,"Molecular.Function","Cluster_10093"
"27","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.41,0.00088,"Molecular.Function","Cluster_10093"
"28","GO:0005506","iron ion binding",31,5,1.7,0.02488,"Molecular.Function","Cluster_10093"
"29","GO:0004126","cytidine deaminase activity",5,2,0.27,0.02681,"Molecular.Function","Cluster_10093"
"30","GO:0001818","negative regulation of cytokine production",18,3,0.26,0.0019,"Biological.Process","Cluster_10207"
"31","GO:0001503","ossification",43,3,0.63,0.0206,"Biological.Process","Cluster_10207"
"32","GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening",2,1,0.03,0.0292,"Biological.Process","Cluster_10207"
"33","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA trans...",3,1,0.04,0.0435,"Biological.Process","Cluster_10207"
"34","GO:0001558","regulation of cell growth",3,1,0.04,0.0435,"Biological.Process","Cluster_10207"
"35","GO:0003682","chromatin binding",14,3,0.33,0.0036,"Molecular.Function","Cluster_10207"
"36","GO:0003964","RNA-directed DNA polymerase activity",135,8,3.13,0.0117,"Molecular.Function","Cluster_10207"
"37","GO:0005290","L-histidine transmembrane transporter activity",9,2,0.21,0.0172,"Molecular.Function","Cluster_10207"
"38","GO:0005436","sodium:phosphate symporter activity",1,1,0.02,0.0232,"Molecular.Function","Cluster_10207"
"39","GO:0004707","MAP kinase activity",1,1,0.02,0.0232,"Molecular.Function","Cluster_10207"
"40","GO:0005220","inositol 1,4,5-trisphosphate-sensitive calcium-rele...",1,1,0.02,0.0232,"Molecular.Function","Cluster_10207"
"41","GO:0003980","UDP-glucose:glycoprotein glucosyltransferase activi...",1,1,0.02,0.0232,"Molecular.Function","Cluster_10207"
"42","GO:0005044","scavenger receptor activity",13,2,0.3,0.0351,"Molecular.Function","Cluster_10207"
"43","GO:0004573","Glc3Man9GlcNAc2 oligosaccharide glucosidase activit...",2,1,0.05,0.0459,"Molecular.Function","Cluster_10207"
"44","GO:0004315","3-oxoacyl-[acyl-carrier-protein] synthase activity",2,1,0.05,0.0459,"Molecular.Function","Cluster_10207"
"45","GO:0000165","MAPK cascade",36,8,1.24,1.6e-05,"Biological.Process","Cluster_10228"
"46","GO:0001818","negative regulation of cytokine production",18,5,0.62,0.00024,"Biological.Process","Cluster_10228"
"47","GO:0001945","lymph vessel development",5,2,0.17,0.01081,"Biological.Process","Cluster_10228"
"48","GO:0000712","resolution of meiotic recombination intermediates",1,1,0.03,0.03434,"Biological.Process","Cluster_10228"
"49","GO:0007035","vacuolar acidification",1,1,0.03,0.03434,"Biological.Process","Cluster_10228"
"50","GO:0002026","regulation of the force of heart contraction",1,1,0.03,0.03434,"Biological.Process","Cluster_10228"
"51","GO:0000290","deadenylation-dependent decapping of nuclear-transc...",1,1,0.03,0.03434,"Biological.Process","Cluster_10228"
"52","GO:0003676","nucleic acid binding",510,24,17.94,0.00047,"Molecular.Function","Cluster_10228"
"53","GO:0001640","adenylate cyclase inhibiting G protein-coupled glut...",10,3,0.35,0.00423,"Molecular.Function","Cluster_10228"
"54","GO:0003964","RNA-directed DNA polymerase activity",135,11,4.75,0.0069,"Molecular.Function","Cluster_10228"
"55","GO:0005245","voltage-gated calcium channel activity",7,2,0.25,0.02292,"Molecular.Function","Cluster_10228"
"56","GO:0005507","copper ion binding",18,3,0.63,0.02347,"Molecular.Function","Cluster_10228"
"57","GO:0004017","adenylate kinase activity",1,1,0.04,0.03517,"Molecular.Function","Cluster_10228"
"58","GO:0004305","ethanolamine kinase activity",1,1,0.04,0.03517,"Molecular.Function","Cluster_10228"
"59","GO:0004736","pyruvate carboxylase activity",1,1,0.04,0.03517,"Molecular.Function","Cluster_10228"
"60","GO:0002064","epithelial cell development",4,2,0.1,0.0034,"Biological.Process","Cluster_10419"
"61","GO:0001738","morphogenesis of a polarized epithelium",6,2,0.15,0.0239,"Biological.Process","Cluster_10419"
"62","GO:0001832","blastocyst growth",1,1,0.02,0.0245,"Biological.Process","Cluster_10419"
"63","GO:0001895","retina homeostasis",2,1,0.05,0.0485,"Biological.Process","Cluster_10419"
"64","GO:0003964","RNA-directed DNA polymerase activity",135,15,3.47,8.9e-07,"Molecular.Function","Cluster_10419"
"65","GO:0003676","nucleic acid binding",510,15,13.1,0.016,"Molecular.Function","Cluster_10419"
"66","GO:0004441","inositol-1,4-bisphosphate 1-phosphatase activity",1,1,0.03,0.026,"Molecular.Function","Cluster_10419"
"67","GO:0004371","glycerone kinase activity",1,1,0.03,0.026,"Molecular.Function","Cluster_10419"
"68","GO:0005096","GTPase activator activity",12,2,0.31,0.036,"Molecular.Function","Cluster_10419"
"69","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsens...",10,3,0.5,0.011,"Biological.Process","Cluster_14402"
"70","GO:0003824","catalytic activity",1062,93,75.08,7.1e-05,"Molecular.Function","Cluster_14402"
"71","GO:0003964","RNA-directed DNA polymerase activity",135,21,9.54,0.00038,"Molecular.Function","Cluster_14402"
"72","GO:0005044","scavenger receptor activity",13,5,0.92,0.00135,"Molecular.Function","Cluster_14402"
"73","GO:0004315","3-oxoacyl-[acyl-carrier-protein] synthase activity",2,2,0.14,0.00498,"Molecular.Function","Cluster_14402"
"74","GO:0005302","L-tyrosine transmembrane transporter activity",9,3,0.64,0.02127,"Molecular.Function","Cluster_14402"
