"","GO.ID","Term","Annotated","Significant","Expected","Fisher","type","miRNA"
"1","GO:0007605","sensory perception of sound",2,1,0.01,0.0098,"Biological.Process","Cluster_10051"
"2","GO:0001732","formation of cytoplasmic translation initiation com...",6,1,0.03,0.0291,"Biological.Process","Cluster_10051"
"3","GO:0005536","glucose binding",1,1,0.01,0.0067,"Molecular.Function","Cluster_10051"
"4","GO:0000827","inositol-1,3,4,5,6-pentakisphosphate kinase activit...",2,1,0.01,0.0133,"Molecular.Function","Cluster_10051"
"5","GO:0005502","11-cis retinal binding",2,1,0.01,0.0133,"Molecular.Function","Cluster_10051"
"6","GO:0008061","chitin binding",6,1,0.04,0.0395,"Molecular.Function","Cluster_10051"
"7","GO:0004252","serine-type endopeptidase activity",53,2,0.35,0.0476,"Molecular.Function","Cluster_10051"
"8","GO:0001951","intestinal D-glucose absorption",1,1,0,0.0049,"Biological.Process","Cluster_10057"
"9","GO:0007224","smoothened signaling pathway",2,1,0.01,0.0098,"Biological.Process","Cluster_10057"
"10","GO:0001933","negative regulation of protein phosphorylation",5,1,0.02,0.0243,"Biological.Process","Cluster_10057"
"11","GO:0006836","neurotransmitter transport",6,1,0.03,0.0291,"Biological.Process","Cluster_10057"
"12","GO:0004447","iodide peroxidase activity",1,1,0,0.0011,"Molecular.Function","Cluster_10057"
"13","GO:0000045","autophagosome assembly",7,1,0.01,0.0098,"Biological.Process","Cluster_10093"
"14","GO:0002040","sprouting angiogenesis",12,1,0.02,0.0168,"Biological.Process","Cluster_10093"
"15","GO:0003697","single-stranded DNA binding",9,2,0.04,0.00058,"Molecular.Function","Cluster_10093"
"16","GO:0005509","calcium ion binding",69,2,0.29,0.03275,"Molecular.Function","Cluster_10093"
"17","GO:0003682","chromatin binding",14,1,0.01,0.0098,"Molecular.Function","Cluster_10207"
"18","GO:0001654","eye development",11,1,0.02,0.023,"Biological.Process","Cluster_10228"
"19","GO:0001818","negative regulation of cytokine production",18,1,0.04,0.037,"Biological.Process","Cluster_10228"
"20","GO:0002175","protein localization to paranode region of axon",22,1,0.05,0.046,"Biological.Process","Cluster_10228"
