"","Species","Protein_of_interest","avg_rpm","std_rpm","n"
"1","Apul","AGO2",46806.512677185,20149.8029165129,2
"2","Apul","DGCR8",11737.4320094988,1877.56512185452,1
"3","Apul","DNMT1",30598.5370192539,8933.42187328427,2
"4","Apul","DNMT3A",44885.95237833,11453.6882330665,2
"5","Apul","Dicer",29035.6435315425,8724.73158389063,3
"6","Apul","Drosha",26419.9570448756,8280.0321633439,2
"7","Apul","Pip5k1a",43182.1387440921,10463.3990224678,2
"8","Apul","Piwi",82205.2348827434,11138.6574540335,2
"9","Apul","RNase P",30851.0217704666,14667.1380799176,8
"10","Apul","XPO5",65377.7221981394,24513.4578617515,1
