"","GO.ID","Term","Annotated","Significant","Expected","Fisher","type","miRNA"
"1","GO:0003015","heart process",5,1,0.01,0.014,"Biological.Process","Cluster_1140"
"2","GO:0008061","chitin binding",8,1,0.03,0.026,"Molecular.Function","Cluster_1140"
"3","GO:0001654","eye development",3,2,0.13,0.04,"Biological.Process","Cluster_1167"
"4","GO:0002224","toll-like receptor signaling pathway",1,1,0.04,0.042,"Biological.Process","Cluster_1167"
"5","GO:0006886","intracellular protein transport",1,1,0.04,0.042,"Biological.Process","Cluster_1167"
"6","GO:0000302","response to reactive oxygen species",1,1,0.04,0.042,"Biological.Process","Cluster_1167"
"7","GO:0004993","G protein-coupled serotonin receptor activity",5,2,0.24,0.02,"Molecular.Function","Cluster_1167"
"8","GO:0004656","procollagen-proline 4-dioxygenase activity",5,2,0.24,0.02,"Molecular.Function","Cluster_1167"
"9","GO:0000014","single-stranded DNA endodeoxyribonuclease activity",1,1,0.05,0.047,"Molecular.Function","Cluster_1167"
"10","GO:0004364","glutathione transferase activity",1,1,0.05,0.047,"Molecular.Function","Cluster_1167"
"11","GO:0004383","guanylate cyclase activity",1,1,0.05,0.047,"Molecular.Function","Cluster_1167"
"12","GO:0000281","mitotic cytokinesis",6,2,0.31,0.033,"Biological.Process","Cluster_2787"
"13","GO:0005302","L-tyrosine transmembrane transporter activity",6,3,0.37,0.0039,"Molecular.Function","Cluster_2787"
"14","GO:0001666","response to hypoxia",4,2,0.23,0.017,"Biological.Process","Cluster_2854"
"15","GO:0003779","actin binding",10,2,0.25,0.023,"Molecular.Function","Cluster_2854"
"16","GO:0004605","phosphatidate cytidylyltransferase activity",1,1,0.02,0.025,"Molecular.Function","Cluster_2854"
"17","GO:0004715","non-membrane spanning protein tyrosine kinase activ...",1,1,0.02,0.025,"Molecular.Function","Cluster_2854"
"18","GO:0000030","mannosyltransferase activity",2,1,0.05,0.049,"Molecular.Function","Cluster_2854"
"19","GO:0004370","glycerol kinase activity",2,1,0.05,0.049,"Molecular.Function","Cluster_2854"
"20","GO:0000278","mitotic cell cycle",36,3,1.02,0.025,"Biological.Process","Cluster_2882"
"21","GO:0001778","plasma membrane repair",1,1,0.03,0.028,"Biological.Process","Cluster_2882"
"22","GO:0005007","fibroblast growth factor receptor activity",4,2,0.11,0.0042,"Molecular.Function","Cluster_2882"
"23","GO:0003884","D-amino-acid oxidase activity",1,1,0.03,0.0278,"Molecular.Function","Cluster_2882"
"24","GO:0004046","aminoacylase activity",1,1,0.03,0.0278,"Molecular.Function","Cluster_2882"
"25","GO:0003697","single-stranded DNA binding",1,1,0.03,0.0278,"Molecular.Function","Cluster_2882"
"26","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA trans...",2,1,0.02,0.017,"Biological.Process","Cluster_29"
"27","GO:0007165","signal transduction",34,2,0.29,0.043,"Biological.Process","Cluster_29"
"28","GO:0003997","acyl-CoA oxidase activity",1,1,0.01,0.011,"Molecular.Function","Cluster_29"
"29","GO:0000122","negative regulation of transcription by RNA polymer...",21,2,0.24,0.019,"Biological.Process","Cluster_4079"
"30","GO:0002002","regulation of angiotensin levels in blood",2,1,0.02,0.023,"Biological.Process","Cluster_4079"
"31","GO:0003682","chromatin binding",1,1,0.02,0.016,"Molecular.Function","Cluster_4079"
"32","GO:0004725","protein tyrosine phosphatase activity",2,1,0.03,0.032,"Molecular.Function","Cluster_4079"
"33","GO:0001778","plasma membrane repair",1,1,0.02,0.023,"Biological.Process","Cluster_4080"
"34","GO:0005244","voltage-gated ion channel activity",10,2,0.21,0.02,"Molecular.Function","Cluster_4080"
"35","GO:0005178","integrin binding",1,1,0.02,0.021,"Molecular.Function","Cluster_4080"
"36","GO:0003884","D-amino-acid oxidase activity",1,1,0.02,0.021,"Molecular.Function","Cluster_4080"
"37","GO:0004252","serine-type endopeptidase activity",14,2,0.3,0.033,"Molecular.Function","Cluster_4080"
"38","GO:0004972","NMDA glutamate receptor activity",2,1,0.04,0.042,"Molecular.Function","Cluster_4080"
"39","GO:0004111","creatine kinase activity",2,1,0.04,0.042,"Molecular.Function","Cluster_4080"
"40","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsens...",2,1,0.01,0.011,"Biological.Process","Cluster_4115"
"41","GO:0005245","voltage-gated calcium channel activity",4,1,0.02,0.02,"Molecular.Function","Cluster_4115"
"42","GO:0003714","transcription corepressor activity",5,1,0.02,0.024,"Molecular.Function","Cluster_4115"
"43","GO:0000165","MAPK cascade",23,7,1.37,0.00012,"Biological.Process","Cluster_589"
"44","GO:0005283","amino acid:sodium symporter activity",3,2,0.19,0.011,"Molecular.Function","Cluster_589"
"45","GO:0004656","procollagen-proline 4-dioxygenase activity",5,2,0.31,0.033,"Molecular.Function","Cluster_589"
"46","GO:0001868","regulation of complement activation, lectin pathway",1,1,0.03,0.031,"Biological.Process","Cluster_796"
"47","GO:0001570","vasculogenesis",1,1,0.03,0.031,"Biological.Process","Cluster_796"
"48","GO:0004222","metalloendopeptidase activity",16,3,0.47,0.0095,"Molecular.Function","Cluster_796"
"49","GO:0003697","single-stranded DNA binding",1,1,0.03,0.0295,"Molecular.Function","Cluster_796"
"50","GO:0005178","integrin binding",1,1,0.03,0.0295,"Molecular.Function","Cluster_796"
