"species","sample","report","mapping_efficiency","pct_meth_CpG","pct_meth_CHG","pct_meth_CHH","pct_meth_unknown"
"D-Apul","ACR-140","trimmed_ACR-140-TP2_S5_PE_report.txt",51,10.3,1.7,2.4,21
"D-Apul","ACR-145","trimmed_ACR-145-TP2_S3_PE_report.txt",52.4,8.9,1.8,2.4,21.8
"D-Apul","ACR-150","trimmed_ACR-150-TP2_S2_PE_report.txt",48.4,10.8,2,2.8,22.5
"D-Apul","ACR-173","trimmed_ACR-173-TP2_S4_PE_report.txt",50.7,9.5,1.7,2.3,20.6
"D-Apul","ACR-178","trimmed_ACR-178-TP2_S1_PE_report.txt",51.9,10.1,1.7,2.5,21.2
"E-Peve","POR-71","trimmed_POR-71-TP2_S9_PE_report.txt",55.8,7.2,1.9,2.8,16.1
"E-Peve","POR-73","trimmed_POR-73-TP2_S7_PE_report.txt",60.1,7.6,1.7,2.3,23.6
"E-Peve","POR-76","trimmed_POR-76-TP2_S6_PE_report.txt",56.8,6.6,2.4,3.1,21.3
"E-Peve","POR-79","trimmed_POR-79-TP2_S10_PE_report.txt",55,7.4,1.9,2.8,16.6
"E-Peve","POR-82","trimmed_POR-82-TP2_S8_PE_report.txt",50.9,7.4,2.2,3.3,16.8
"F-Ptuh","POC-47","trimmed_POC-47-TP2_S13_PE_report.txt",59.2,4,2.5,3.4,16.8
"F-Ptuh","POC-48","trimmed_POC-48-TP2_S11_PE_report.txt",58.9,3.9,1.8,2.9,21.2
"F-Ptuh","POC-50","trimmed_POC-50-TP2_S14_PE_report.txt",57,4.2,2.7,3.3,16.3
"F-Ptuh","POC-53","trimmed_POC-53-TP2_S15_PE_report.txt",55.7,4.1,2.6,3.1,17.6
"F-Ptuh","POC-57","trimmed_POC-57-TP2_S12_PE_report.txt",58.4,4,1.8,2.7,21.3
