"miRNA","lncRNA","mRNA","PCC_lncRNA_mRNA","p_value_lncRNA_mRNA","FDR_lncRNA_mRNA","PCC_miRNA_mRNA","p_value_miRNA_mRNA","FDR_miRNA_mRNA","PCC_miRNA_lncRNA","p_value_miRNA_lncRNA","FDR_miRNA_lncRNA"
"apul-mir-2028","lncRNA_17237","FUN_025105",0.934607049289873,0.0198757632177948,0.0329898029067172,-0.947362764535052,0.0143818393999629,0.791406447288987,-0.88248959178804,0.047494276735172,0.972855157123468
"apul-mir-novel-4","lncRNA_8218","FUN_024260",0.972366676309117,0.00549129997379403,0.0182419523024803,-0.946398188227218,0.0147767891703283,0.801301622128722,-0.979667613871922,0.0034696638284593,0.572743866580232
"apul-mir-novel-4","lncRNA_8218","FUN_041591",0.950190311238315,0.0132444193751149,0.0273790222405032,-0.897545558605285,0.0387561505122677,0.96546924320845,-0.979667613871922,0.0034696638284593,0.572743866580232
"apul-mir-novel-4","lncRNA_8218","FUN_022527",0.92991167376077,0.022038554013359,0.0345878376011989,-0.913079543803525,0.0303579162035216,0.922979388371587,-0.979667613871922,0.0034696638284593,0.572743866580232
"apul-mir-novel-4","lncRNA_8218","FUN_031513",0.966827048050213,0.00721667493141717,0.020715932378312,-0.976904487025009,0.00419870148827339,0.552081461428504,-0.979667613871922,0.0034696638284593,0.572743866580232
"apul-mir-novel-4","lncRNA_8218","FUN_032162",0.903318727056527,0.0355587777948509,0.043044783794772,-0.970090512303536,0.00618143417402044,0.64594287704385,-0.979667613871922,0.0034696638284593,0.572743866580232
"apul-mir-novel-4","lncRNA_8218","FUN_042591",0.956619568796218,0.0107752740871268,0.0249182158633778,-0.954152437823369,0.0117030426780483,0.759916928545811,-0.979667613871922,0.0034696638284593,0.572743866580232
"apul-mir-novel-4","lncRNA_8219","FUN_024260",0.972366676309117,0.00549129997379403,0.0182419523024803,-0.946398188227218,0.0147767891703283,0.801301622128722,-0.979667613871922,0.0034696638284593,0.572743866580232
"apul-mir-novel-4","lncRNA_8219","FUN_041591",0.950190311238315,0.0132444193751149,0.0273790222405032,-0.897545558605285,0.0387561505122677,0.96546924320845,-0.979667613871922,0.0034696638284593,0.572743866580232
"apul-mir-novel-4","lncRNA_8219","FUN_022527",0.92991167376077,0.022038554013359,0.0345878376011989,-0.913079543803525,0.0303579162035216,0.922979388371587,-0.979667613871922,0.0034696638284593,0.572743866580232
"apul-mir-novel-4","lncRNA_8219","FUN_031513",0.966827048050213,0.00721667493141717,0.020715932378312,-0.976904487025009,0.00419870148827339,0.552081461428504,-0.979667613871922,0.0034696638284593,0.572743866580232
"apul-mir-novel-4","lncRNA_8219","FUN_032162",0.903318727056527,0.0355587777948509,0.043044783794772,-0.970090512303536,0.00618143417402044,0.64594287704385,-0.979667613871922,0.0034696638284593,0.572743866580232
"apul-mir-novel-4","lncRNA_8219","FUN_042591",0.956619568796218,0.0107752740871268,0.0249182158633778,-0.954152437823369,0.0117030426780483,0.759916928545811,-0.979667613871922,0.0034696638284593,0.572743866580232
"apul-mir-novel-4","lncRNA_8220","FUN_024260",0.958689925636318,0.0100163218394204,0.0240989206700069,-0.946398188227218,0.0147767891703283,0.801301622128722,-0.982515179796738,0.00276810968107421,0.572743866580232
"apul-mir-novel-4","lncRNA_8220","FUN_041591",0.958885096854969,0.00994571709736119,0.0240200080514531,-0.897545558605285,0.0387561505122677,0.96546924320845,-0.982515179796738,0.00276810968107421,0.572743866580232
"apul-mir-novel-4","lncRNA_8220","FUN_022527",0.937282081310281,0.0186763878300025,0.032086257264143,-0.913079543803525,0.0303579162035216,0.922979388371587,-0.982515179796738,0.00276810968107421,0.572743866580232
"apul-mir-novel-4","lncRNA_8220","FUN_029368",0.878831300468278,0.0497009142512912,0.0498622883950046,-0.911136312456013,0.0313722088085375,0.928091384712529,-0.982515179796738,0.00276810968107421,0.572743866580232
"apul-mir-novel-4","lncRNA_8220","FUN_031513",0.97969915211119,0.00346161057965278,0.0146423926060471,-0.976904487025009,0.00419870148827339,0.552081461428504,-0.982515179796738,0.00276810968107421,0.572743866580232
"apul-mir-novel-4","lncRNA_8220","FUN_032162",0.907975311017232,0.0330447824981949,0.0416180329834756,-0.970090512303536,0.00618143417402044,0.64594287704385,-0.982515179796738,0.00276810968107421,0.572743866580232
"apul-mir-novel-4","lncRNA_8220","FUN_042591",0.972008847496285,0.00559800300456196,0.0184097351912672,-0.954152437823369,0.0117030426780483,0.759916928545811,-0.982515179796738,0.00276810968107421,0.572743866580232
"apul-mir-2022","lncRNA_18690","FUN_012601",0.89389325522666,0.0408237173650942,0.0457244063649886,-0.987937302187941,0.00158749787882643,0.545343267336266,-0.899611575674348,0.0376018441256648,0.968400947318429
